---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_8,"entity Look At Entity","None","","!=","2","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Plesiomon","NSLOCTEXT(""[1CF28BD140183234CB501D9EC581739B]"", ""B6F1431F491BFDC091E759A45B3F9AE6"", ""You heard this already."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"switch Case","None","","!=","14","0","0","(4,8)","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Plesiomon","NSLOCTEXT(""[1CF28BD140183234CB501D9EC581739B]"", ""E0E3AB66411478DE52A44FB49A958B53"", ""Time is slow here. Half a day here is like a day out there."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Plesiomon","NSLOCTEXT(""[1CF28BD140183234CB501D9EC581739B]"", ""6F5A6944448BBF777379B581F5936276"", ""For those who want to rest, it\'s perfect."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"Set PStat","None","","!=","14","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Plesiomon","NSLOCTEXT(""[1CF28BD140183234CB501D9EC581739B]"", ""81C5C7794F0DB341B8AEA693A3C37CBD"", ""Time goes fast in the Speedy Time Zone. It\'s just beyond here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Plesiomon","NSLOCTEXT(""[1CF28BD140183234CB501D9EC581739B]"", ""8B6157CC4C3D5476F894FD89247C4AA1"", ""Two days pass instead of one there."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Plesiomon","NSLOCTEXT(""[1CF28BD140183234CB501D9EC581739B]"", ""0E4DC1A749FC5C74496EF8800EE8EC23"", ""Your Digimon grows faster, but fades away faster too."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Set PStat","None","","!=","14","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
