---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_29,"entity Look At Entity","None","","!=","100","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""6F34115840478950F50FD59DF9637A04"", ""This must be it! No matter how I look at it, it looks a plain meteorite."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((8, NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""FC9B379249FF9336053F198683EB01A3"", ""Crack it and check"")),(4, NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""3D35983348B98FE58F2AF3943CBBDB4E"", ""Leave it alone"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""AEE937064B8BA54C4B1CFD85CF027A7F"", ""We looked at it, and we can\'t tell anything. Let\'s crack it!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","???mon","NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""3D29A2F04384D2ABA17A12A1F3AD64EC"", ""Whadda ya think you\'re doing? You reckless clod!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"Jump To","None","","!=","0","0","10","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Player","NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""7F558B944D27CBBF018084894F17B955"", ""Looks like a plain old meteorite to me."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","???mon","NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""14F180F648FF5608779E81BDF5570A0B"", ""Sorry to look so plain and old."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[4D0C6B4543DAADCBB7B19EAB5465E560]"", ""5B4CEEB84BE190A36A563389A01CB9C1"", ""Wow!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
