---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Kuwagamon","NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""CD55B55E4CE0A9B6B9FB7BA55B5C7BB1"", ""I want to beat Kabuterimon. What do I need to do to win?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((7, NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""F21B12314D35D3A9FC014497CF90703E"", ""Hmm. You gotta get stronger."")),(9, NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""125E20EC46C7FAEAA9C72B81D2D6CDE5"", ""Actually, there is a sure fire way...."")),(5, NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""9CC9B1F64C04971E2A47AFA9BF1A3ED2"", ""well, hang in there."")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Kuwagamon","NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""3C5833974F7F11418A1C8EAB2DFAC129"", ""Man, you\'re not nice. I\'m disappointed!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Kuwagamon","NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""90EE2F524FC3A939958491A05CB2D926"", ""I see. Alright, I\'ll train."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Kuwagamon","NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""BE4335E1496EC8DFD1B9578570BA626C"", ""Really?! Then I\'ll train you!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""66B6007842835D3C8F84B4BAB999EC62"", ""Just come to the city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Kuwagamon","NSLOCTEXT(""[FE25656D4BDDA799DB6ED9A3AB62A701]"", ""535A9CB540C1C5CD4C4FC7B4E4DF11B0"", ""You\'re really nice. I\'ll go to the city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"Entity Move To Location","None","","!=","6","0","0","","False","0.000000","()","()","(X=6000.000000,Y=7200.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_16,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
