---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Jijimon","NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""D3303A664EA1D69F53738BB55EE58CE3"", ""It seems {Partner} has faded away..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Jijimon","NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""5B37A21C43190AA8388A089C0AA686C1"", ""Before fading away, he gave birth to a Digitama. He will be reborn with his abilities."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Jijimon","NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""E59B4A5C4500F0B2B09419B8B53EA450"", ""Which egg do you want?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"Open Selection Digiegg","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Jijimon","NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""FD89F4E2453A562FEECDB2AAD384B004"", ""You can change the name {Partner} if you want."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((7, NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""161CB6E641769BEEE22B6E9212CEE0CE"", ""I want a new name"")),(10, NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""9B59B17B40E3C684B93FDCA46FD7DA62"", ""I\'ll keep his name"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"Enter Partner Name","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Jijimon","NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""C3C86E0A4986844608225BBDA19C2F9B"", ""Is {Partner} okay?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((10, NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""8BC014DE4F101D0E65FD5E8715D1F1BA"", ""Yes"")),(7, NSLOCTEXT(""[289765854B3DED764B143399BD1A5797]"", ""1E008304469CC73E3CF4E891C18EC461"", ""No"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
