---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_53,"fadeCamera","None","","!=","0","0","0","","True","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_54,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"Spawn Digimon","DragonEyeLake_Seadramon","","!=","0","0","0","","False","0.000000","()","()","(X=15870.000000,Y=35000.000000,Z=1340.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_52,"move Camera","None","","!=","0","0","0","","False","0.000000","()","()","(X=13200.000000,Y=37470.000000,Z=400.000000)","(Pitch=15.000000,Yaw=340.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_55,"fadeCamera","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_56,"Delay","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"If Trigger","None","","!=","88","0","11","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"ShowTextBox","Player","NSLOCTEXT(""[6DA7FBC34688C00C2B3311BE2A399469]"", ""D1CC1B8749EEF395D43B31AED9A1396B"", ""Seadramon!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"ShowTextBox","Seadramon","NSLOCTEXT(""[6DA7FBC34688C00C2B3311BE2A399469]"", ""E4955B4D411190D559F904B2F52F0708"", ""So we meet again. Do you have a request?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_29,"Jump To","None","","!=","0","0","16","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
