---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_81,"If Trigger","None","","!=","45","0","4","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"ShowTextBox","Andromon","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""2B521A04455FCE44AE060DA4FDC10FB2"", ""It\'s all cool here. Good luck."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_82,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_83,"If Trigger","None","","!=","180","0","10","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"ShowTextBox","Andromon","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""FA7427B14E48B2AE58B9CFB787CD702C"", ""I must help, too. I\'ll go back and forth between here and the city whenever I can."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_84,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_24,"ShowTextBox","None","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""72C459E440DF11F96841688F8A227AD8"", ""Andromon joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_85,"Set Trigger","None","","!=","0","45","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"If Trigger","None","","!=","179","0","33","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_25,"ShowTextBox","Andromon","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""AEE67D8149E90C06F04CC1B26188F65A"", ""Data repair is complete. Now, let\'s read data."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_88,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_87,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/Ambient/computer.Computer'","None"
NewRow_86,"ShowTextBox","Player","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""9E99AAC1428529072E463F83DEC1ADEF"", ""Please."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_26,"ShowTextBox","None","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""57C6F495412880642C6D93BBA90F894E"", ""One hundred years ago, Analog Humans appeared on Digimon island."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"ShowTextBox","None","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""EE4C51BC447041DB791D9C992DA523ED"", ""Analog Humans and native Digimon fought very hard."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"ShowTextBox","None","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""BE5029DC45A59784AC46069EB94539AE"", ""After ten years of battle, the Analog Humans were defeated and disappeared."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_29,"ShowTextBox","None","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""C26415B04E2C54470CFB059F5F09DBAC"", ""In the next ten years, mysteriously, the island\'s area almost doubled in size."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_30,"ShowTextBox","Player","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""28375FD64B94A324A6F3FDB55CDD1708"", ""So humans fought Digimon?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"ShowTextBox","Andromon","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""33F59EA544DBD43CEBD89392388D7DB2"", ""I\'m sorry. That\'s all the data we could recover."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_32,"ShowTextBox","Player","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""3053CD16434DBEEA544C9186552D737F"", ""Don\'t worry. This is very important information. Now I know so much more."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"ShowTextBox","Andromon","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""B7C39D5846B89A34927AE8BC30518780"", ""Is that right?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"ShowTextBox","Player","NSLOCTEXT(""[406AD34540B72144186E909E481A6BB2]"", ""61B6A4B4419563657A2593AD640A024D"", ""These humans are probably the ones who caused confusion and trouble on the island."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
