---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Guardromon","NSLOCTEXT(""[BA164C414CA246EEA67758AF6A16DA65]"", ""006106E748E328375D0041859D7578F3"", ""We are going to remodel. The fee is 2000 bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"get Digimon Name","Mamemon","","!=","0","0","5","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Guardromon","NSLOCTEXT(""[BA164C414CA246EEA67758AF6A16DA65]"", ""449941DA421209007A1F0A8F89878FD1"", ""The style is different. We can\'t remodel."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((6, NSLOCTEXT(""[BA164C414CA246EEA67758AF6A16DA65]"", ""238D912145D5BE7DF968A3813F565F60"", ""Do it"")),(8, NSLOCTEXT(""[BA164C414CA246EEA67758AF6A16DA65]"", ""342F982A4BFAFD462DFD898673B4BA82"", ""No thanks"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"get Money","None","","!=","2000","0","9","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Guardromon","NSLOCTEXT(""[BA164C414CA246EEA67758AF6A16DA65]"", ""206B1FF14E986C2D9E0D31AA05011C13"", ""You don\'t have enough bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"reduce Money","None","","!=","2000","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Guardromon","NSLOCTEXT(""[BA164C414CA246EEA67758AF6A16DA65]"", ""0C498FFE4E0A6FEEF619EE88ABCE25C5"", ""Wait a minute."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
