---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_7,"If Trigger","None","","!=","162","0","6","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"Get Prosperity Points","None","","<","45","0","6","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"Set Trigger","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","None","NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""088CB3F1456A60DF983640A33040CC28"", ""Shell Newspaper Eigth {LineBreak}Alien Digimon appears: We have found the UFO. The creature showed its body and spoke unknown words. Is the creature an Alien? Will it appear again?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((5, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""898503F3437B5A4A395B9FB58D7327CC"", ""Back"")),(333, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5DE4F6C44F85965D1F747397D7ADA558"", ""Stop"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"If Trigger","None","","!=","40","0","9","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","None","NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""69C03FB147D6E2EC136371BF28E3DF50"", ""Shell Newspaper Seven {LineBreak}Myotismon denies his retirement: In an interview, he denied the rumors. He is still working hard. He loves his fans. He also announced that his pupil, SkullGreymon, will make his debut."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((1, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""898503F3437B5A4A395B9FB58D7327CC"", ""Back"")),(8, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""122B16D94A65C7CD140E62BA08295A7A"", ""Forward"")),(333, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5D55E9784C1FCE2E6C0BB2A963BB1455"", ""Stop"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"If Trigger","None","","!=","205","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_25,"Get Prosperity Points","None","","<","35","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","None","NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""0ABF2908471FA0DCB2742298C69971A2"", ""Shell Newspaper Six {LineBreak}Myotismon to retire?: Rumor is that popular and able Myotismon will retire. No one at the arena has seen him. His career is at its end. He is too old."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((5, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""898503F3437B5A4A395B9FB58D7327CC"", ""Back"")),(12, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""122B16D94A65C7CD140E62BA08295A7A"", ""Forward"")),(333, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5D55E9784C1FCE2E6C0BB2A963BB1455"", ""Stop"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_26,"Get Prosperity Points","None","","<","25","0","16","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","None","NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""557B9FAD4C137004E0F1A69226CECBBB"", ""Shell Newspaper Five {LineBreak}Hidden Treasure: A cool shop in Gear Savanna. This shop is only open from first to fifteenth each year. The shop manager is proud of his rare Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((1, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""898503F3437B5A4A395B9FB58D7327CC"", ""Back"")),(2, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""122B16D94A65C7CD140E62BA08295A7A"", ""Forward"")),(333, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5D55E9784C1FCE2E6C0BB2A963BB1455"", ""Stop"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"Get Prosperity Points","None","","<","20","0","19","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","None","NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5D9EEB1D49B89A436F4B3482C1644F7B"", ""Shell Newspaper Four {LineBreak}A Legendary Digimon?: Rumor is that there is a cold weather Digimon in Freezeland. Mr. M was saved by this monster. It looked like a big snowball. Digimon who are not use to the cold, be careful!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((1, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""898503F3437B5A4A395B9FB58D7327CC"", ""Back"")),(2, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""122B16D94A65C7CD140E62BA08295A7A"", ""Forward"")),(333, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5D55E9784C1FCE2E6C0BB2A963BB1455"", ""Stop"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"Get Prosperity Points","None","","<","15","0","22","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","None","NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""0C2D74C84CB0637E37F16A8BCAF35D11"", ""Shell Newspaper Three {LineBreak}A Guardian for the Lake?: Lake Guardian is at Dragon Eye Lake. The Digimon-like creature was called by someone. Can this Guardian make wishes come true?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((1, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""898503F3437B5A4A395B9FB58D7327CC"", ""Back"")),(2, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""122B16D94A65C7CD140E62BA08295A7A"", ""Forward"")),(333, NSLOCTEXT(""[81E6852245F2A898B5F05E84EDC1DC2E]"", ""5D55E9784C1FCE2E6C0BB2A963BB1455"", ""Stop"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"If Trigger","None","","!=","161","0","25","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
