---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Biyomon","NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""E1FE704B4BCE5AF58B3EBCA23C98FB72"", ""I\'m gonna buy and sell Items. Come and visit me when you need my services."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Biyomon","NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""903A14584FF74B685A2B508386088F9E"", ""We don\'t have much variety, but if I can find a helper, maybe I can do better."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Biyomon","NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""DFFB3D33465B4B9D1045DE9384D94954"", ""What do you want to do?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((5, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""C7DCEB0B4EE34269D7847393BF414AA1"", ""Buy"")),(8, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""3B278C0E42713F701EBCEEB894C52C14"", ""Sell"")),(11, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""4B61E17946D075BE1314BAB66909D23F"", ""See ya"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"Open Shop Buy","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Biyomon","NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""367ABB0F4964F7845A41ED81DD6E69C9"", ""Anything else?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((5, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""C7DCEB0B4EE34269D7847393BF414AA1"", ""Buy"")),(8, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""3B278C0E42713F701EBCEEB894C52C14"", ""Sell"")),(11, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""4B61E17946D075BE1314BAB66909D23F"", ""See ya"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"Open Shop Sell","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Biyomon","NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""367ABB0F4964F7845A41ED81DD6E69C9"", ""Anything else?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((5, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""C7DCEB0B4EE34269D7847393BF414AA1"", ""Buy"")),(8, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""3B278C0E42713F701EBCEEB894C52C14"", ""Sell"")),(11, NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""4B61E17946D075BE1314BAB66909D23F"", ""See ya"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Biyomon","NSLOCTEXT(""[D81126B0408663628BB94EBF9C63817A]"", ""DC9B50CF45169717F82E708DFEFA19CE"", ""You just came to look?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
