---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_15,"Random PStat","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"if PSTAT","None","","!=","0","0","5","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""49F2CD46472C95617219F3881B726200"", ""Talk to Tsunomon and Yuramon as often as you can."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"if PSTAT","None","","!=","0","1","12","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""13CE0CCA42AFFBE7696292A9FE5EEFD2"", ""I\'ll tell you about the Tamer level."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""A758F03C44B74B4D924D6BBC6D254B11"", ""With a high Tamer level, when your Digimon fades away,"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""EC5C992C434A5E61DDA4E3B253D20725"", ""your next Digimon will have better parameters."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""F9926AC54C6AFF2F7551D09A7301E3E4"", ""In the beginning it won\'t go up much,"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""5AC819DA41C46E69219F0388028FD36A"", ""but keep steadily raising him and it will get better."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"if PSTAT","None","","!=","0","2","16","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""424CA612410C556B32775BB2F5FB7A83"", ""When you use your Finishing Technique, make sure to rapidly hit L and R buttons."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""DDBB6F494D21F2A76EDA1E8755994AFA"", ""When Finish Gauge is full, compared to when empty, the damage to enemy is double!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""F2C339C4460B00DD5559CA9EE1C2134D"", ""I\'ll tell you about a Digimon\'s life."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""215C40004D63998B7B29838928D62684"", ""When Digimon gets hungry, he\'ll tell you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""C02951004D27C0163B3FCEA6026C22DC"", ""He also needs to go potty. Make sure he does it in the toilet."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""3CCBAA904B2E32200F3A72841CEDF9DA"", ""Digimon get sleepy and need sleep, but you have to make him sleep."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""34154BC34D9B0C50A6DC10833DA3CA5A"", ""Don\'t try to keep him up for too long."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""365D90904B5C0991F5EB0EA833B95C3B"", ""He may get tired, sick or just get upset. He\'s kinda delicate."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""CC0973E446ABD66A22AC47AA6A5CE2D5"", ""Since Digimon are wild creatures, you should praise or scold them."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Botamon","NSLOCTEXT(""[7260490843274BABF740C29EBA0E36E0]"", ""586F13ED4EAAC2836DE3A6B14259CE54"", ""Whatever you do, pay attention to what your Digimon is doing."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
