---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_3,"If Trigger","None","","!=","53","0","5","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"Set Trigger","None","","!=","0","53","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""C7928EE143EAF15CD9259FA8E5D872FC"", ""Hello, {Player}. Surprise! I opened a clinic!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""6CFD6AC7409EFC1293CD35A9C42F55C2"", ""It\'s for treating sickness and injuries. It\'s not free, but it will be cheap."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_39,"If Partner Condition - Centar Clinic","None","","!=","0","0","26","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""5B90F674418410AB7A6359B7D9580DBA"", ""Your Digimon looks fine. What do you need?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((39, NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""247E874C4B4AB75B8B55EF8B619B343B"", ""Get rid of his Tiredness"")),(8, NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""98B38EB549098EDE86891AA10B788B7C"", ""Sell me Medicine"")),(55, NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""D23D57884FC83C34D52A75B85F920389"", ""Nothing"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""CF7D0A554CAAA1F2D4BD6BBA2C12B4F1"", ""He should be fine."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((10, NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""AD14690F4C766FD79D03A3A65E33182A"", ""Bandage: 400 bits"")),(18, NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""E5B90C484EA34B6E303A05B3EA6242BA"", ""Medicine: 1200 bits"")),(55, NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""7039D4644825AE74C7F9269BA9C65DD1"", ""Don\'t buy anything"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"get Money","None","","!=","400","0","13","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""676120A842C844044C1DD0B56E36592A"", ""You don\'t have enough bits. I can\'t sell you that."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"Give Items","None","","!=","0","0","16","","False","0.000000","((""Bandage"", 1))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""F9A595DB462BCF666FD3D0850B2197B1"", ""You have too many Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"reduce Money","None","","!=","400","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"Jump To","None","","!=","0","0","36","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"get Money","None","","!=","1200","0","21","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""676120A842C844044C1DD0B56E36592A"", ""You don\'t have enough bits. I can\'t sell you that."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"Give Items","None","","!=","0","0","24","","False","0.000000","((""Medicine"", 1))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""D04B9723452A5053F333A8B39CF5AEA2"", ""You have too many Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_24,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_25,"reduce Money","None","","!=","1200","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"Jump To","None","","!=","0","0","36","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_70,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""9767BB5048C6F55BDAFC21AEFFAFD634"", ""Your Digimon doesn\'t look well. You need to take care of his health."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_71,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""522288F6414527E81A2971B0877A994F"", ""I\'ll treat him now and give you a discount. 300 bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_72,"get Money","None","","!=","300","0","32","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_76,"reduce Money","None","","!=","0","300","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_74,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""17C387E743E6E57458455A84541EF1B7"", ""You don\'t have enough bits? Pay me what you can."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_77,"Jump To","None","","!=","0","0","33","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_73,"reduce Money","None","","!=","0","300","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_75,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""BCA093CD41CDD76DD296FC9D2D9B5B4C"", ""Everything is ok now. Just be careful from now on."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_79,"Reduce Stats","None","","!=","12","50","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_78,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_59,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""85DEB61840F0B86649278F88D9AD702F"", ""Still need something?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_60,"Jump To","None","","!=","0","0","7","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"if Partner Stat","None","","<","0","80","42","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_36,"ShowTextBox","Centarumon","NSLOCTEXT(""[89D958D342A7540F93828192991B3DE7]"", ""9FC16CF34EB87E468995B5B6B2BB069A"", ""{Partner}\'s Tiredness is very high, he needs to rest now."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_41,"Jump To","None","","!=","0","0","49","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
