---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""6D58461F423557C872DFAEB3798F3F7F"", ""Hey, you!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""F37828874FD3E3C40E79CBB7794F76FE"", ""What do you mean? Why are you here?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""F417FAED490A62E84D5692855F654507"", ""Hey, {Player}!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""A793CD364F5328A69BC27F9C9B41C255"", ""When I tried to make my own harem in the city, I was kicked out!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""1BF1D39B4EED9F6A6B1AFA9D381017FA"", ""I hear you\'re doing real good these days. I\'ll sell you something good!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""F4FC4D75474036E3C2E9E2A7AD640305"", ""It\'s the extremely valuable <Item>Golden Banana</>."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""B7A031624ABADBCCD393C1BF15A8AFBE"", ""That\'ll be fifty thous bits. No loans, please."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((1, NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""39C003834CD756AAE947A595D875528F"", ""Pay"")),(0, NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""61D7CCBD464544E1960090B55A103D35"", ""Don\'t pay"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""A9ED1A1041A7C49A6237879C534930F8"", ""You fool! You have too much!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""00663F27419D3071EBF2AF9BA68E6277"", ""Oops, I have too much!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""1EAFAF1442AD0500F3FE1C86B91907DF"", ""Thank you very much!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Etemon","NSLOCTEXT(""[D9D88FEF47805579586662865563DC56]"", ""31576338414A8DF281F2A5A6A1672F35"", ""Humans should use live money."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
