---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_9,"Get Prosperity Points","None","","<","20","0","9","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Random PStat","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"if PSTAT","None","","!=","0","0","9","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""44E706254E9A2168AE999BA64FB377C0"", ""Are you having trouble because you\'ve got too much stuff?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""560C696E44541064107FC9B241C02FF2"", ""There is a place to find a key chain that connects your bag to another dimension."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""5BA14C1E4A55F308B86732B328AFD67E"", ""It increases the number of Items you can carry."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""F8933F014B486CF4ADD926BB690BFB1E"", ""Even if you\'ve been to some place before, look again."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""6C41D8CF470A44368593089BF387C056"", ""I\'ll tell you the secret to Item buying."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""D9740F78453130AD5DA3D9B1F4A3333B"", ""Press the Start button on the Item you want to get information for!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""BD5E07F44BAE5209F83D849BBFEBDC2B"", ""Choose the Item with [E], and press [UP], if you want to buy a lot."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""4F0185BA4D93ADA32E6EC99C3ABE9CE3"", ""To raise or lower by ten, use Up or Down on Dir. Pad, while pressing"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Punimon","NSLOCTEXT(""[0BC82758436EF51C3B48D785480FCE66]"", ""6A0C0177407F86DEDB8C0EBB5AD71E26"", ""Oh, right after digivolution, try buying something. Something good should happen!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
