---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""4C1BA57549B5CB4420635FAB61DF206E"", ""Hi, I\'m busy all the time running this shop... Not!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""D59CC65142B77302B819FCA221FDFDA5"", ""I\'m kinda lazy and I won\'t be in the shop much. But I got some cool stuff."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""FB1210D049B621B10042DFB54B3A5B83"", ""Yes! \'Training Manual\'! With this, your training will get better!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""7B2C635341A23EEEF48684A89232724D"", ""It\'s very valuable. I\'ll sell it for fifty thousand bits. You\'ll regret not buying it."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((6, NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""98A07F2E4D200F54762BCF813F3EBFF1"", ""Buy"")),(14, NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""AB0B62144181EC3A2DCCAEB88F5B9903"", ""Don\'t buy"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"get Money","None","","!=","50000","0","9","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""D2D62041411DE07B3666C09AB4FA3A4A"", ""You don\'t have enough bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Give Items","None","","!=","0","0","12","","False","0.000000","((""TrainingManual"", 1))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""63ADBEEB4FDB1806291CD488E0EC660A"", ""Hmmm, you have lots of stuff with you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""5E2EFEE6431B0E5A775D65A8F16962DA"", ""I got a <Item>Training Manual</>!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Piximon","NSLOCTEXT(""[97758426423C295033B966895B803A66]"", ""E565DDD847D9A8ACBCA2DDBFFF3FDDB6"", ""I won\'t give you a discount."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
