---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_9,"If Trigger","None","","!=","67","0","15","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""A73046374E694373200AB3BB10B4BB82"", ""Would you like some meat?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""DB8FA537454E22598970B18A1BE8AA57"", ""Oh, I\'m sorry. I forgot to explain."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""1A5F06294BFF436E4647DA925CDD912A"", ""This is a Meat Farm. We grow Meat for everyone."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""A91B680D4D9C79AF8EBFEA817F62C7F3"", ""You grow Meat on a farm?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""BBBA83064462DCA2B30D8C95BF0694EF"", ""Yes, what\'s wrong?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""07F5D803450CA87F38315A834FFC0F64"", ""Nothing...it\'s alright. Please continue..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""6D543D1C49529759D25B67A1E34C64DA"", ""Jiji and I decided to give you three pieces of Meat a day, {Player}"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""409EEDF74B0284855D6DD2842A99BE1D"", ""So, here\'s today\'s Meat."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"Give Items","None","","!=","0","0","11","","False","0.000000","((""Meat"", 3))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""D08D732141F8BFD14A8375AF9877CED0"", ""I got three pieces of Meat!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"Set Trigger","None","","!=","0","67","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"Set Trigger","None","","!=","0","87","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"If Trigger","None","","!=","87","0","20","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""4DCFE0A84F7FD12889B8E7B3B29C7569"", ""Here\'s today\'s Meat."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"Give Items","None","","!=","0","0","18","","False","0.000000","((""Meat"", 3))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"Set Trigger","None","","!=","0","87","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""35580C2B411F60B66D1BB5810839DAB4"", ""What? I gave you Meat today, remember?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Tanemon","NSLOCTEXT(""[8F1B297F418FA5BF9E99EF9C83B830DF]"", ""6DCFF3F24FBC039B05C279AFDFD6BF67"", ""If you run out of food, look for mushrooms in Native Forest."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
