---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_19,"If Trigger","None","","!=","157","0","9","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"Set Trigger","None","","!=","0","157","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""A5414DF1422D77F5A25624BFC5B1E669"", ""You can have this. Good luck."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"Give Items","None","","!=","0","0","5","","False","0.000000","((""SmallRecovery"", 3),(""Meat"", 3),(""MPFloppy"", 3),(""Restore"", 1),(""Bandage"", 2),(""Medicine"", 1))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","None","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""E044140C4C0DC5EAD8159291569D1FCF"", ""I got lots of Items!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""2C08D11244F7B89BF36285BFA20C2D93"", ""To look up Items, press [R] ..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""AA5DCC02421A19A6E16D728ABA22E05C"", ""...then select \'Item\' and look by using [E]."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""7831FF5549835194CEF2C78F0717306E"", ""I will teach you about the common sense in our world."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""9BD22DCD49109CD7500162B89B47D846"", ""There are twenty four hours a day and there is morning, day and night."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""0E17930B4E1DB22E006B4B9A27207C95"", ""You may feel the pace is quick."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""94213A4443C18D6AFF6960B984083319"", ""There are thirty days a year. Month? What\'s that? Seasons? Can you eat that?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""A2596ACC458113CFC8198B83D5CF6563"", ""Of course we have money. The unit is a bit. You can never have too much money."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""60A99ED5471E27CA7D3EA09373570BBD"", ""When you say \'city\' on this island, that means here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""72F978B8493275B4EB481E9B0FAA073E"", ""But there are other small villages and towns."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""01C9897F40EAD8CBA9D48BA7581481C9"", ""On the clock, the yellow dot is hours and the needle is minutes."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Tokomon","NSLOCTEXT(""[DF3DF5924544FBE77DAE328E2DCCFC94]"", ""5EED05C9483C463F7647A698A3287988"", ""Up is Midnight and Down is Noon."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
