---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_15,"If Trigger","None","","!=","57","0","5","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""1DA6C8BA431E3ACFB56705AB94C6712D"", ""{Player}, {Partner}, I\'m a professional cooker now!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""91664A3C48D1806962797F8D386DC56E"", ""If you want to try my cooking, you\'d better come in the morning!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"Set Trigger","None","","!=","0","57","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""C8A1DFFA45FCD6D57BF35AB68C48F6D2"", ""What do you want to eat?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((8, NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""411688E44E6E821D2C7D9BB95C7393CA"", ""Dragon Noodle: 400 bits"")),(11, NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""780793DC4AC3E34C927876A29AEDEC6C"", ""Zaurus Pizza: 1000 bits"")),(14, NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""2E8BA03B45C4266F4D2BD5A800BBB207"", ""J. Burger: 2500 bits"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"get Money","None","","!=","400","0","18","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""11D4BB574A83512152611AB692881CF8"", ""You don\'t have enough bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"add Money","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"get Money","None","","!=","1000","0","18","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""11D4BB574A83512152611AB692881CF8"", ""You don\'t have enough bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"add Money","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"get Money","None","","!=","2500","0","18","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""11D4BB574A83512152611AB692881CF8"", ""You don\'t have enough bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""CB142FFC44B7194521CE5BA450576634"", ""Oh, it\'s over already."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""5D21EBC04422710F3E16E3BBC0A76E7E"", ""Defensive Power went up one! Speed went up by one!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[488B437340171C437B16AA89EF45C3F7]"", ""6437CA724C98D579C4353886A270E404"", ""Happiness went up! Tiredness went down."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
