---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_9,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=13120.000000,Y=13310.000000,Z=-60.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"If Trigger","None","","!=","74","0","6","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"Set Trigger","None","","!=","0","74","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Whamon","NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""1C7BEE7E495588AC882A9CA1221DE8C7"", ""I\'ll take you to the ocean. That\'s my job."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Whamon","NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""1AAFBCAA4139690AC3F0E2B9C79AF9B3"", ""I\'ll take you to a place you can only go to by sea."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Whamon","NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""54E71DBD417C19D7D8F9E59CC2A47AB2"", ""Well, then..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Whamon","NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""C5CA7DCE461C052064BCF0BD0DA09442"", ""Hmmm, where should we go? Factorial Town or maybe Beach Cave."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((14, NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""DD83BCE2430C8D8F6FE40F9013B09815"", ""Factorial Town"")),(16, NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""ABF3408A49F874092E6151B897DB31D0"", ""Secret Beach Cave"")),(10, NSLOCTEXT(""[B732EE164D16EC66343F989906A4061B]"", ""623AA2D94AC80A18C6289A803E00306F"", ""Nowhere"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=11950.000000,Y=13290.000000,Z=-20.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"Level Streaming","FactorialTown1","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"Level Streaming","SecretBeachCave","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
