---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_26,"If Trigger","None","","!=","191","0","18","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Garurumon","NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""E02E2CE74537AD5720A1A596CA9B8283"", ""If you want to go thru, you must accept my challenge."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Garurumon","NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""7E29F46A42AD9A9D753F37BF6C8B03D3"", ""I let my guard down, but two on one isn\'t fair."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((8, NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""0D499C3C434C366597A176BF4AB83399"", ""Well, that maybe so"")),(9, NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""A8BAB5174C980408187D40804B82D07F"", ""Don\'t be a sore loser"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"Jump To","None","","!=","0","0","9","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Garurumon","NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""380F6AE042384F9F7C0E29B472B01A91"", ""I never lose to anybody when it\'s a fair fight."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Garurumon","NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""9F5721964413DB59ED6DA299B6A98BB6"", ""Let\'s fight one on one. Come back tomorrow at 04:00. Only Digimon will fight."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((12, NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""5EF447634A8EB2E58871A08322F78474"", ""Alright"")),(13, NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""D32137EE425FCAFB7E1D2EA58F53347D"", ""No thanks"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_29,"Jump To","None","","!=","0","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Garurumon","NSLOCTEXT(""[D508678C40AE240674B5908DADF95E9F]"", ""094918F045C15065A9202C990D3C8408"", ""It\'s a promise then. See you tomorrow!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"Set Trigger","None","","!=","0","191","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"unload Entity","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"Camera To Player","None","","!=","0","0","0","","True","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
