---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""6593C5FE44893F56EE375F84BF2ACBFE"", ""I\'ve heard about you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""4DF528A34193214DF197D29A3A6AEBF0"", ""If you\'ve heard about us and the city, why don\'t you come with me?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""65091F684BE56F5850C5F5AB7E595C73"", ""I\'m also thinking about the island\'s future. I\'ve been searching for something."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""2C02F33E4C477C96F8BF8EB090CEB81A"", ""What are you looking for?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""1EB63CD244077896CF296BA582BCE4DC"", ""Something that my ancestors left behind, but I don\'t know what it is."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""B827421D4BEBF9D496B1199CE3B29160"", ""I see. If I find it, I\'ll let you know."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""84546A97451E9C6F230B97B27D0EE1A1"", ""I\'ve been looking a long time. It won\'t be easy to find."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""4FFC77D64FFF577245F38B9E80FB5240"", ""But if you find it, I promise, I\'ll go to your city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""C0A8706B48F22778E6FC859C9F06AF67"", ""Is this it?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""497DC91B4CA47D90B236009979B7B238"", ""Oh, that\'s it!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""861E923E406D2E460F9B9D8265480405"", ""This is what my ancestors had written. Let me see."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""647043304B83E30EE0E776AEEF32942E"", ""When danger comes to the island, go to the city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""58033EEA4CEE2511F2D3A9B4C48A72A7"", ""My ancestors say that I should go!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Leomon","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""43B0A2F7431FAF029ACB859CC360D98B"", ""You are going to help us?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Player","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""DBAC11754BB5B4AE58D21E9CA5CE20F4"", ""You can count on me!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_14,"ShowTextBox","None","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""F30309D74D95CE4106EA49962BB92EC0"", ""Leomon joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Player","NSLOCTEXT(""[E1CC0F1B4F4E5C58328D178C6BBBA69B]"", ""09092DC4400F2657887A7681BAE3B717"", ""I have to look for something. Excuse me, but I have to..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
