---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Otamamon","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""8672577B42631922EADAD5B75EA0A0F9"", ""Bird brain!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Otamamon","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""B9F2EE3B407E50DBC1E035BF5120854D"", ""Numbskull!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Otamamon","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""FE005F7E497F68555C7DE5865A8EEAEB"", ""Dimwit!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Otamamon","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""C3EF4D614F23383716B99A87A4F55397"", ""Chowder head!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Otamamon","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""A113D514414E983C1878AEAD90D50D84"", ""Dumb, dumb!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Otamamon","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""5D9B73DD441A9607C1A92BA9BAB52AD2"", ""Eau de Geek!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Player","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""C23360FA47EE7267922EBA8B02CE4281"", ""What did you say?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((11, NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""099360F34898D92C7BA7608FE18DAC34"", ""That gets me mad"")),(9, NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""564D375B42CCB9ABFE4F45BAF2FED5D9"", ""I\'ll just ignore them"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[414B68DB48FCF751B49E6E89EB35E0F4]"", ""1B86101F4DF83BE43523B6913B9F5F72"", ""Ha ha ha, he\'s bluffing. I won\'t deal with kids."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
