---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_25,"Get Prosperity Points","None","","<","40","0","6","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_26,"ShowTextBox","Koromon","NSLOCTEXT(""[07136849499DB843C8FE33874B1DE8FD]"", ""876D7CE64AC8C1DBC058E9A2BCEFA397"", ""Hey, here\'s new info."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"ShowTextBox","Koromon","NSLOCTEXT(""[07136849499DB843C8FE33874B1DE8FD]"", ""87BB7A374BA538DE1218659DEB7C30ED"", ""For Fresh or In-Training Digimon, try to repeat the same training."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"ShowTextBox","Koromon","NSLOCTEXT(""[07136849499DB843C8FE33874B1DE8FD]"", ""23F383D74ABCC722A0FE8BBE2F7F4A49"", ""Something good will happen."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_29,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_30,"Get Prosperity Points","None","","<","20","0","10","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"ShowTextBox","Koromon","NSLOCTEXT(""[07136849499DB843C8FE33874B1DE8FD]"", ""F61796164CF69C4C5FA20FAE88AA401B"", ""Here\'s new info."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_32,"ShowTextBox","Koromon","NSLOCTEXT(""[07136849499DB843C8FE33874B1DE8FD]"", ""D59F400A4E7A09C78B5B41B7F2775A97"", ""For Bonus try, if you line up the same pictures, his ability is boosted greatly."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"Get Prosperity Points","None","","<","5","0","19","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
