---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""3F8DED3F4E86C7927111359884873027"", ""Yum, yum...."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""386C86924D9B3831BA35BEA71FA0A387"", ""Well."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""6C3ADC654AAE6E9B3DE5409151ED9FDE"", ""Listen to me."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""72D64D7442200EF9DFD3578754A92442"", ""Yummy, yummy...."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""B37BC90C4F52F3C9C9CCC1ACB06FDD44"", ""My guys don\'t behave anymore."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""6B61CAF8461DFEC0D3DF09A6D75B3558"", ""I don\'t think they can remember my orders."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""876973B6482DF41CF33D7EABAD077B20"", ""They don\'t understand now. They should be bringing me my meals, but...."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""3F8DED3F4E86C7927111359884873027"", ""Yum, yum...."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""45287B5741CA99075D293B9FD0594713"", ""While I was working, they didn\'t bring my meals, so I forgot to eat."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""2D628317497927332F066DB6829B804E"", ""You\'re too wrapped up in your work."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""BCEA40DE41306B3623345B971D919F3B"", ""I\'m so embarrassed."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Player","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""98201F09449A40682E62E694B33E29F1"", ""I think there\'s trouble in the mansion."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Myotismon","NSLOCTEXT(""[EA569A3A420A518A2EF7F29B9F2BDDB8]"", ""5585DD1E4B29FB8333A178BE6CB3E781"", ""Any problem on the island? Is everyone like my men?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
