---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""475AAC5642AC8F6417CE3CB13E4A29C1"", ""Oh? About that statue..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"ShowTextBox","Player","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""2D369627451B3CC137850580B7B70DB1"", ""Ah!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"Spawn Digimon","IceSanctuary_Angemon","","!=","0","0","0","","False","0.000000","()","()","(X=10.000000,Y=-700.000000,Z=1000.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"Delay","None","","!=","0","0","0","","False","3.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Angemon","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""D81EA8E04C5D6B0143DACE825DA5A28B"", ""Phew, well"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""C201BCCF40D6FB30CE8237B8A004B052"", ""You came back to life. Alright!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Angemon","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""1C0A69444479124F4C611280453C2FDD"", ""I\'m Angemon, an angel to protect you. I\'ve awakened to fulfill my duty."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Player","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""E0511EA5415F2E697FA3C5824F6683FF"", ""What\'s he talking about...?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Angemon","NSLOCTEXT(""[4BC36A4D4D56B9707D4F85AE5C5AE22F]"", ""093BED1840BEC057C26217B10AD22C34"", ""I know the truth of heaven."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
