---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_27,"move Camera","None","","!=","0","0","0","","False","0.000000","()","()","(X=-190.000000,Y=-4000.000000,Z=140.000000)","(Pitch=0.000000,Yaw=-90.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"Spawn Digimon","Intro_Jijimon","","!=","0","0","0","","False","0.000000","()","()","(X=500.000000,Y=-4420.000000,Z=100.000000)","(Pitch=0.000000,Yaw=90.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_29,"Entity Move To Location","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=-4420.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_30,"Delay","None","","!=","0","0","0","","False","3.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"entity Look At Entity","None","","!=","0","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Jijimon","NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""A182191E4034282575B28E9BAD30C412"", ""I\'m Jijimon. Tell me about yourself."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
NewRow_0,"ShowTextBox","Jijimon","NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""EFE2EE2C497EBCFD6D205DA82D50D0CA"", ""Do you have a Digivice?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
NewRow_1,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((9, NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""482F2FFF42B819EC7947AABCFD265F94"", ""Yes"")),(12, NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""9F4954AA4C66F5EE35A8D996DD96337E"", ""No"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
NewRow_2,"ShowTextBox","Jijimon","NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""B9B2C1634A9CD889D1F2B28AAD27D542"", ""I see."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
NewRow_3,"ShowTextBox","Jijimon","NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""0C9BA37D475AF189D244ED9EB9290D26"", ""Next question. Which do you like better, day or night?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
NewRow_4,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((15, NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""1984FFC644F84BCE4DE8B486AC082E6B"", ""Day"")),(17, NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""7BB667A94D7420345FA6DFAA54E9B5EB"", ""Night"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
NewRow_32,"ShowTextBox","Jijimon","NSLOCTEXT(""[D8CB5E4247D32B82E6D2749B36B4FA47]"", ""B9B2C1634A9CD889D1F2B28AAD27D542"", ""I see."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Top","None","None"
