---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Gabumon","INVTEXT(""...!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Gabumon","NSLOCTEXT(""[A4F8394440FBB5FA44030A8A0716C521]"", ""9CC8D12C49473273AD8FB3A363FC3AA2"", ""No, I don\'t want to! I don\'t want to fight!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[A4F8394440FBB5FA44030A8A0716C521]"", ""03C1460147D734251A5AC1BF72CBA12B"", ""If you don\'t want to fight, then run away."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Gabumon","NSLOCTEXT(""[A4F8394440FBB5FA44030A8A0716C521]"", ""27BBC7CB46AC8381A89767997E266310"", ""That\'s too bad."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[A4F8394440FBB5FA44030A8A0716C521]"", ""3222ABC5459C4AEAB7774380008F7599"", ""I don\'t understand you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[A4F8394440FBB5FA44030A8A0716C521]"", ""D2B7D1B54D835C118369769897A6A73E"", ""Oh well, why don\'t you come to our city? Better than hiding out here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Gabumon","NSLOCTEXT(""[A4F8394440FBB5FA44030A8A0716C521]"", ""E55C1CF64B34CA60CA7324BFEAFC62BE"", ""Uh, city?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
