---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""8702293B45A77667909874A3B73E84F4"", ""Hey you!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""3998AF7B48764A347AA9D99776EED080"", ""Hmm, you\'re something else! That was pretty good for so early in the morning."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""E3F9DC8847CD17DC3B439AA766419A89"", ""Hey, hey, don\'t act like it\'s somebody else\'s business!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""8454D2E64AB983A33A3EB59879EFCBC1"", ""I know! I know what you\'re talking about."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""EB8CF7114BB241349FE80B9E019A02C4"", ""I hear you\'re working hard for the island by gathering Digimons."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""688E29CE4567BE4A1230BF968735CE2E"", ""So you know. Well, why don\'t you help me."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""BE4C9B0643D3FDB81395CCA29EA01ADB"", ""And, where am I supposed to do what?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""23019CFE400EACEEA4B6489D7CD0E378"", ""Oh you just don\'t get it! You\'re supposed to work in the city, remember?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""6FAF55CC49CA547FF1D0459C72D9216F"", ""Well, like they say... the early bird gets the bug."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Player","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""6695830E460751062590F4A6144902D0"", ""That has nothing to do with anything! On top of that, it\'s a worm not a bug!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Kokatorimon","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""ADD1181147B9A51DB7C659B2F8EBF694"", ""I\'m just joking. Well, I\'ll see you in the city..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_13,"ShowTextBox","None","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""83E2EC9640F679310FAAD38FA24C13E4"", ""Kokatorimon joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Player","NSLOCTEXT(""[74E3B8E9413684075A1A5D92C4423DAD]"", ""168A5F7146B090E365704282F7BA52F9"", ""Can we really trust him? I wonder..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
