---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_84,"If Trigger","None","","!=","104","0","45","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_44,"If Trigger","None","","!=","62","0","22","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_45,"Set Trigger","None","","!=","0","62","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Monochromon","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""893F66684D831A940A346FBC26B159DA"", ""Welcome. I\'ve never seen you before. Where are you from?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""D6F5368E4FF0AC8113524EAC9BAD9D37"", ""The city. Actually, I\'m from another world."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Monochromon","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""932357BB4F2B0108C6B132B0D3368E61"", ""You understand my language?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""C3C03E1848DB40462E764CA8865E7452"", ""Yes, I do."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Monochromon","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""324B63B64904ABB1F5577EA0D7210560"", ""Sometimes it\'s hard and I don\'t sell much here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""388E619342B3A20B81ED71BE7CA8FFAF"", ""I see."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Monochromon","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""E16A03854DB3642DF9357EA24BF6F165"", ""Many shoppers stopped coming."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""BFA0AAE14C3C952A63ECDD9B248163A2"", ""It must be the trouble on the island."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Monochromon","NSLOCTEXT(""[C5520E6F4242CFCA7055CF8204360200]"", ""E3EC3B504E363E746F7EE9800ADF6705"", ""Help me do something."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
