---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
1,"Spawn Digimon","MonochromeShop_Goburimon","","!=","1","0","0","","False","0.000000","()","()","(X=300.000000,Y=300.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
2,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
3,"Entity Move To Location","None","","!=","1","0","0","","False","0.000000","()","()","(X=0.000000,Y=120.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
4,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
5,"entity Look At Entity","None","","!=","1","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
6,"entity Look At Entity","None","","!=","100","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
7,"Set PStat","None","","!=","3","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
8,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
9,"if PSTAT","None","",">","1","34","11","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
10,"Jump To","None","","!=","0","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
11,"if PSTAT","None","",">","1","84","241","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
12,"Jump To","None","","!=","0","0","127","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
13,"ShowTextBox","Goburimon","NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""2E94C4684FA3EE7C2C129FB01F4CD394"", ""Boy, gimme some <Item>Meat</>!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
14,"ShowTextBox","Player","NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""AEAA1DBB4962331D5C0255975394EDA2"", ""Welcome, so you want some <Item>Meat</>. Well, uh..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
15,"Set PStat","None","","!=","6","6","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
16,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((17, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""A791BBC247920B9B4005BB936E57CD70"", ""Raise price"")),(38, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""935A000846ADC1D19AB79BB77B00E5BE"", ""Keep price at 50 bits"")),(41, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""A0C5E65845F35E673B4929AC1E07F59C"", ""Lower price"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
17,"Random PStat","None","","!=","1","4","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
18,"if PSTAT","None","",">","1","0","22","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
19,"Set PStat","None","","!=","6","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
20,"ShowTextBox","Player","NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""9C74C9C24DF53925C8BF018BEFAA25A1"", ""How\'s a 50 bit <Item>Meat</>, for 75 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
21,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((54, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""F13F14D84A196DC0AE6EDF9292992B4B"", ""Raise 50 to 75"")),(15, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""4675B76D4A15AD25AA2C2D87D597B491"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
22,"if PSTAT","None","",">","1","1","26","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
23,"Set PStat","None","","!=","6","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
24,"ShowTextBox","Player","NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""6A105CDB47C1A9BD283CF993AAE0A033"", ""How\'s a 50 bit <Item>Meat</>, for 70 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
25,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((57, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""298C1D5440D52AA43A5826998A025029"", ""Raise 50 to 70"")),(15, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""3009AFE241CC6241B6544EB316FC46BB"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
26,"if PSTAT","None","",">","1","2","30","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
27,"Set PStat","None","","!=","6","3","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
28,"ShowTextBox","Player","NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""950886684C681EB72427E797407803E5"", ""How\'s a 50 bit <Item>Meat</>, for 65 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
29,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((60, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""4565A718433171E525863A9128E67610"", ""Raise 50 to 65"")),(15, NSLOCTEXT(""[543D7535488BF8A49B4063973ED72160]"", ""51332C99410E81E4F67FF8B26CF1F6AB"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
