---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
1,"Spawn Digimon","MonochromeShop_Muchomon","","!=","1","0","0","","False","0.000000","()","()","(X=300.000000,Y=300.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
2,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
3,"Entity Move To Location","None","","!=","1","0","0","","False","0.000000","()","()","(X=0.000000,Y=120.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
4,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
5,"entity Look At Entity","None","","!=","1","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
6,"entity Look At Entity","None","","!=","100","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
7,"Set PStat","None","","!=","3","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
8,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
9,"if PSTAT","None","",">","1","31","11","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
10,"Jump To","None","","!=","0","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
11,"if PSTAT","None","",">","1","66","241","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
12,"Jump To","None","","!=","0","0","127","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
13,"ShowTextBox","Piyomon","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""4250C6FD48F72848EE5A40A1E84A253F"", ""Boy, I want some <Item>Meat</>."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
14,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""FF2C91A7430BD0BCD8E8B8897E3A66A1"", ""Welcome, so you want some <Item>Meat</>. Well, uh..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
15,"Set PStat","None","","!=","6","6","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
16,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((17, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""C8C0C8524C1D2ABB88DC2DA087E9E09C"", ""Raise price"")),(38, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""590CE58F42A78B1DE7F7A19839B6B4F5"", ""Keep price at 50 bits"")),(41, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""02D7C84C411D0D2A84D362A89DE33B24"", ""Lower price"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
17,"Random PStat","None","","!=","1","4","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
18,"if PSTAT","None","",">","1","0","22","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
19,"Set PStat","None","","!=","6","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
20,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""71C156FC4E795EC6F5F5C6970C6AFAF0"", ""How\'s a 50 bit <Item>Meat</>, for 75 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
21,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((54, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""564DFA574B0D4FC50D8A5FB1FB7FA1DB"", ""Raise 50 to 75"")),(15, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""EBA1EA7244112C995A66F5AF134CDDB4"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
22,"if PSTAT","None","",">","1","1","26","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
23,"Set PStat","None","","!=","6","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
24,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""49F51A1D43EBF434BAA291887C6FEDAE"", ""How\'s a 50 bit <Item>Meat</>, for 70 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
25,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((57, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""E79EBDCE42A047A4A4B6ACAC785935A2"", ""Raise 50 to 70"")),(15, NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""2BD6F95B4750FA424C48798CE447692F"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
26,"if PSTAT","None","",">","1","2","30","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
27,"Set PStat","None","","!=","6","3","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
28,"ShowTextBox","Player","NSLOCTEXT(""[CAFD1FA2454EA25535F7979DFB02524C]"", ""E441591340859A29BFFC9B985BE989BC"", ""How\'s a 50 bit <Item>Meat</>, for 65 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
