---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Mamemon","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""83FDE39F4196EECE8AC73BBA2876B8BC"", ""Are we gonna battle? Chicken?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((3, NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""6339B0FD40E6F89009B1CAA9863F2FBF"", ""Okay, let\'s fight"")),(16, NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""97CE17EC4454721842BCFCB9BE5A91CA"", ""Wait a minute"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Mamemon","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""13D89C63494E045F7C6746B57BBA1899"", ""Oh no! I lost!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""3A39C5784181D8ACAA12BBA69FCF5193"", ""He was pretty tough."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Mamemon","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""BB85DED34A325C2635EDA083FEB7B0E3"", ""You\'re nice. I\'m Mamemon. I\'ll go with you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""1DC177724325AC08C137E0A464FA1D94"", ""Coming with us? Well, why don\'t you go to the city?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Mamemon","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""8505692041429B73D648D7AC58C40DD6"", ""OK. I\'ll go there."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_6,"ShowTextBox","None","NSLOCTEXT(""[2CB671CE487FEDBE20BE6C90FAE10D76]"", ""73BE8FA849B395DABA026E8BBD1B3D6D"", ""Mamemon joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"unload Entity","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"Set Trigger","None","","!=","0","42","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
