---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_21,"If Trigger","None","","!=","160","0","5","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""50BAB33941E3FDD8DBE349A6DB216D75"", ""Did you bring something to treat the wound?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"ShowTextBox","Player","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""DA23A60549571CD4C3EA24843D8EEF83"", ""Wait a second. Let me see..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"Jump To","None","","!=","0","0","9","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""27A25E0749F38B1CA976139A2412F482"", ""My wing hurts!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""38EBD24D4B2F708D93A8EA8330E5AE8D"", ""What happened?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""59CB294849881F266B622B82A8D8B526"", ""I hurt my wing. Do you got something to treat my wound?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""0ECAD5CA471FB05BEC4ACBA80FE6B89E"", ""It looks bad. Hold on. What should I do?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""AB58E9F84DAFE64F580A5E899188F011"", ""It\'s much better. Thanks."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Player","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""0CF616074EADE91CE2DE5B9D32C78411"", ""Can you fly already?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""452BD3B146627DC5BE15BC886A25BB6B"", ""I don\'t think I can fly far."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""B9944F824B9F727825D356BE2A7AF92C"", ""There\'s a clinic in city. You should go there. It isn\'t far from here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""4D37B7014BCF6C1082FBA9A16EEB65B8"", ""I heard about the city. It\'s bigger than I thought."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""DFE1D260480034FDF0BB5283C2AA88E7"", ""Go to the city and rest."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Unimon","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""B195AFAB43AFA62DF87B2EBD295B7C37"", ""Thanks. Maybe I can help you someday."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_11,"ShowTextBox","None","NSLOCTEXT(""[2FF67F5640DDC61DBF002397C015708B]"", ""E9BF13CD417556B3BF83AABA2AE26A5D"", ""Unimon joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"Set Trigger","None","","!=","0","38","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
