---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_31,"If Trigger","None","","!=","161","0","6","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","None","NSLOCTEXT(""[BBFEDD3448353CCC2438E5A52046F72F]"", ""9A2C60144BE361B4BF1C30AE2767FA80"", ""There are some strange drawings on the ground."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[BBFEDD3448353CCC2438E5A52046F72F]"", ""BD6CE7B8418198BC3E2E3BB00A4B2897"", ""Are they one of those strange circles? They still look new."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_32,"Set Trigger","None","","!=","0","161","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"If Trigger","None","","!=","162","0","10","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[BBFEDD3448353CCC2438E5A52046F72F]"", ""89EC8546436402506DD368B7E3EC57F4"", ""There are more of them now. Do you think they\'re from the UFO?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"Set Trigger","None","","!=","0","162","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_24,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"fadeCamera","None","","!=","0","0","0","","True","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_37,"Delay","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_50,"Teleport Entity","None","","!=","100","0","0","","False","0.000000","()","()","(X=-39750.000000,Y=14630.000000,Z=200.000000)","(Pitch=0.000000,Yaw=-70.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_51,"Teleport Entity","None","","!=","101","0","0","","False","0.000000","()","()","(X=-39720.000000,Y=14750.000000,Z=200.000000)","(Pitch=0.000000,Yaw=-70.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_49,"move Camera","None","","!=","0","0","0","","False","0.000000","()","()","(X=-39400.000000,Y=14580.000000,Z=230.000000)","(Pitch=-12.000000,Yaw=-170.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_40,"fadeCamera","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[BBFEDD3448353CCC2438E5A52046F72F]"", ""3A4B48064AE6F4A06D308AA1ABE94C68"", ""Ugghh!?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Player","NSLOCTEXT(""[BBFEDD3448353CCC2438E5A52046F72F]"", ""76EE8AB54496CEC3D2C19F8D1170005D"", ""I see a lot more now."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_36,"ShowTextBox","Player","NSLOCTEXT(""[BBFEDD3448353CCC2438E5A52046F72F]"", ""54438EA8439DA4152661139414545F72"", ""Well, I guess it means..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
