---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""198509904FE3D0924C35658CAD946A47"", ""Hey!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Ogremon","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""2236B2414B5C2FA76BE7F3B966EDBF9A"", ""What?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Ogremon","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""EACED6864E701FC234DA819CFC529C52"", ""Did you come here to lose?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""7CB51C0E4D38CE2D8F4C198403B3104D"", ""That\'s my line!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Ogremon","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""4439CFCE48959693DA52958E796C06A5"", ""I\'m holding nothing back this time. I\'ll make you cry!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"fadeOut HUD","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Agumon 1","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""6384082B47F7CC77400363A6AC8B429D"", ""Wow!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Agumon 2","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""E42649F24264038BB4282B8D0543F44A"", ""Oh no!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Ogremon","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""63FEEF0643054EF48932E0A0AE579608"", ""Darn it!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""71905D1441499B797A9FF19EEE953167"", ""What is it?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Ogremon","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""D06CC8AC45B7FDA0C5B8C88ADC60B612"", ""Bye, dumb guys!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""EF81D8E54CCAD9ABCC85BE97809FDB81"", ""Darn, he got away!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Player","NSLOCTEXT(""[F41E330F4416201A8DC290A0BA2B22C8]"", ""BFB575C141716B61B5305B858213F75E"", ""There is an escape elevator. Chasing him will do no good."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
