---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_8,"If Trigger","None","","!=","172","0","9","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Set Trigger","None","","!=","0","172","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Numemon","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""28E03D4143F2919BB8538AA5B46628F1"", ""I don\'t feel well."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""BC29978349628E24581C11A2721B60CC"", ""Are you alright?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Numemon","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""F1D577194FADFCE81AEF6BB7A3905EFE"", ""I don\'t feel good."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""FE67C67F44D4308DAD6B06932C5BEE70"", ""Is this where you live?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Numemon","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""7BF35C8A47FB8BB7F0F69BAD2A3E1C9B"", ""I feel sick. No energy."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""10D269DB43DD07EF0EC782B7339A9FA2"", ""You look awful."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Numemon","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""6A05DB8441CD95E20D8BF5A6C58DDE2D"", ""It\'s getting worse."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""9B443B7445E4C53EA8283F962EC635FB"", ""I have to figure out why."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Player","NSLOCTEXT(""[D5D9547D4CCBDEC1DFF98F8ACB1F8916]"", ""8E0E1BDB4F7A3050D22403985239BCB6"", ""Where is this drainage coming from? I\'m gonna check it out!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
