---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_40,"If Trigger","None","","!=","106","0","5","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"ShowTextBox","Player","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""5BAA78EE433E1F3A19C1F5BF1FD9EF19"", ""Quit messing around!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_35,"ShowTextBox","WaruMonzaemon","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""9D409F7B4B12EA727360C39637E3ECF3"", ""Alright. I don\'t think I\'ll do it again."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_36,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_41,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""4DB3D04949586B30BEA904AA0A2BC19D"", ""I think this is the last room."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","???","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""60A5852F46C064BA0E5BB39D918939C5"", ""Which one?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""92A1729C4B998D82EF02FFA8CCD96EB4"", ""That voice...sounds like WaruMonzaemon!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""1AD9CC634957942F74BA2EA650D38D82"", ""A big box or a small box. I can read your mind!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((11, NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""8C50F64340FD0DD54D571F81B9FBE733"", ""Big box"")),(16, NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""5CB6E66D46F0410D41175FBFD89D4442"", ""Small box"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_42,"ShowTextBox","Player","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""ED06BDB44458C7215727E2A93C3D2DBB"", ""Huh? Aaahhhh!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_47,"Spawn Digimon","ToyMansion_WaruMonzaemon","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=-1000.000000,Z=1000.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_50,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","WaruMonzaemon","NSLOCTEXT(""[2E437DE74ED99E50F9CF8BACB605057F]"", ""44C41E304FFBD599DCF75EA68DC2945C"", ""Ha ha ha, you jerk! You missed!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_43,"Jump To","None","","!=","0","0","20","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
