---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Player","INVTEXT(""!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","SkullGreymon","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""6E8A067241B437F02EA8759708AEC82C"", ""Are you {Player}?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""10AEA86146EC47D00A5538896EB3B0A2"", ""A skeleton Digimon?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","SkullGreymon","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""6E8A067241B437F02EA8759708AEC82C"", ""Are you {Player}?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Player","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""78944D6E46352EE21BF589B22C345E1F"", ""I don\'t feel life from him, but some evil."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""BC1EEFB94D289F1016A4539B3AA6D769"", ""I wonder if he did something to Myotismon?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","SkullGreymon","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""D7BF59CF48CF980C676702BFF7EB5AB4"", ""If you don\'t tell me... I\'ll attack you!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"start Battle","None","","!=","0","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","SkullGreymon","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""A66A031247A381AE30E2F58180A9E364"", ""I\'ll attack you!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[8D5B91CB4E3A012B312129BEC1B87F38]"", ""1F5B9DFD46BAA0D60ABC9FADE8D15CDB"", ""I gotta save Myotismon as soon as possible!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
