---,Name Text Normal,Name Text Romanized,Favorite Food,Level,Type,Speciality #1,Speciality #2,Speciality #3,Sleep Time,Training Preference,Sprite,Mesh,Animation,Material,Prefered Map ID,Default Weight,Energy Capacity,Energy Threshold,Energy Usage,Poop Size,Poop Timer,Height,AI Partner Distance,Scale,Head Bone,Mouth Bone,Chest Bone,Foot Bone Right,Foot Bone Left,Footstep Sound,Eat Sound,Attack Sound,Glad Sound,Down Sound,Feeding Time #1,Feeding Time #2,Feeding Time #3,Feeding Time #4,Feeding Time #5,Feeding Time #6,Feeding Time #7,Feeding Time #8,Enabled Technique #1,Enabled Technique #2,Enabled Technique #3,Enabled Technique #4,Enabled Technique #5,Enabled Technique #6,Enabled Technique #7,Enabled Technique #8,Enabled Technique #9,Enabled Technique #10,Enabled Technique #11,Enabled Technique #12,Enabled Technique #13,Enabled Technique #14,Enabled Technique #15,Enabled Technique #16,Default Technique,Finisher Index,Animation Attack Short,Animation Attack Long,Animation Attack Special 01,Animation Attack Special 02,Animation Damaged,Animation Guard,Animation Get Up,Animation Down,Animation Win / Glad,Animation Eat,Statsgain - HP,Statsgain - MP,Statsgain - Offense,Statsgain - Defense,Statsgain - Speed,Statsgain - Brains,Digivolution Requirement - Bonus,Digivolution Requirement - HP,Digivolution Requirement - MP,Digivolution Requirement - Offense,Digivolution Requirement - Defense,Digivolution Requirement - Speed,Digivolution Requirement - Brains,Digivolution Requirement - Care Mistakes,Digivolution Requirement - Weight,Digivolution Requirement - Happiness,Digivolution Requirement - Discipline,Digivolution Requirement - Battles Won,Digivolution Requirement - Techniques,Digivolution Requirement - Max Battles,Digivolution Requirement - Max Care Mistakes,Digivoluton - From #1,Digivoluton - From #2,Digivoluton - From #3,Digivoluton - From #4,Digivoluton - From #5,Digivoluton - To #1,Digivoluton - To #2,Digivoluton - To #3,Digivoluton - To #4,Digivoluton - To #5,Digivoluton - To #6
Airdramon,"Airdramon","Airdramon","Sirloin","Champion","Data","Air","Fire","None","Day","MP and Brains","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Airdramon.DigimonSprite_Airdramon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Airdramon/Airdramon.Airdramon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Airdramon/Animation_Airdramon.Animation_Airdramon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Airdramon/chr011a01.chr011a01'"",""/Script/Engine.Material'/Game/Digimon/Characters/Airdramon/chr011a01.chr011a01'"",""/Script/Engine.Material'/Game/Digimon/Characters/Airdramon/chr011a01.chr011a01'"",""/Script/Engine.Material'/Game/Digimon/Characters/Airdramon/chr011a01.chr011a01'"")","2","30","80","35","6","1","36","0","200","1.000000","None","None","None","None","None","None","None","None","None","None","5","11","17","23","-1","-1","-1","-1","1","2","5","17","18","19","20","21","22","23","-1","-1","-1","-1","-1","-1","18","68","None","None","None","None","None","None","None","None","None","None","1500","2000","150","150","200","200","None","-1","1000","-1","-1","100","100","1","30","-1","90","-1","35","False","True","Piyomon","None","None","None","None","Megadramon","Phoenixmon","None","None","None","None"
Mojyamon,"Mojyamon","Mojyamon","DigiSnapper","Champion","Data","Ice","Battle","Earth","Sun Up","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Mojyamon.DigimonSprite_Mojyamon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Mojyamon/Mojyamon2.Mojyamon2'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Mojyamon/Animation_Mojyamon.Animation_Mojyamon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Mojyamon/body_0_b.body_0_b'"",""/Script/Engine.Material'/Game/Digimon/Characters/Mojyamon/body_1_b.body_1_b'"")","1","20","80","42","8","1","36","0","200","2.000000","None","None","None","None","None","None","None","None","None","None","3","8","13","18","23","-1","-1","-1","13","14","26","31","32","34","35","36","37","38","-1","-1","-1","-1","-1","-1","34","84","None","None","None","None","None","None","None","None","None","None","2000","1500","150","150","150","150","None","1000","-1","-1","-1","-1","-1","5","20","-1","-1","5","28","True","False","Gomamon","None","None","None","None","SkullGreymon","Mamemon","None","None","None","None"
Ninjamon*,"Ninjamon","Ninjamon","None","Champion","Data","None","None","None","N/A Baby","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Ninjamon.DigimonSprite_Ninjamon'","None","None","","0","0","0","0","0","1","0","0","100","1.000000","None","None","None","None","None","None","None","None","None","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","None","None","None","None","None","None","None","None","None","None","-1","-1","-1","-1","-1","-1","None","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","False","False","None","None","None","None","None","None","None","None","None","None","None"
Drimogemon,"Drimogemon","Drimogemon","GiantMeat","Champion","Data","Battle","None","Earth","Sunset","Offense and Speed","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Drimogemon.DigimonSprite_Drimogemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Drimogemon/Drimogemon2.Drimogemon2'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Drimogemon/Animation_Drimogemon.Animation_Drimogemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Drimogemon/zuantouyanshushou_gutou_base.zuantouyanshushou_gutou_base'"",""/Script/Engine.Material'/Game/Digimon/Characters/Drimogemon/zuantouyanshushou_base.zuantouyanshushou_base'"")","5","40","80","60","12","1","36","0","300","2.500000","None","None","None","None","None","None","None","None","None","None","2","6","10","14","18","22","-1","-1","8","9","10","11","12","13","14","15","28","31","-1","-1","-1","-1","-1","-1","11","74","None","None","None","None","None","None","None","None","None","None","1500","1500","250","150","150","150","None","-1","-1","100","-1","-1","-1","3","40","50","-1","-1","28","False","False","Gabumon","Patamon","None","None","None","MetalGreymon","None","None","None","None","None"
Shellmon,"Shellmon","Shellmon","PricklyPear","Champion","Data","Ice","None","Air","Groogy","HP and Defense","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Shellmon.DigimonSprite_Shellmon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Shellmon/Shellmon2.Shellmon2'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Shellmon/Animation_Shellmon.Animation_Shellmon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Shellmon/body_0_b.body_0_b'"")","4","40","80","56","14","1","36","0","400","4.000000","None","None","None","None","None","None","None","None","None","None","0","4","8","12","16","20","-1","-1","24","28","32","33","34","35","36","37","38","39","-1","-1","-1","-1","-1","-1","39","86","None","None","None","None","None","None","None","None","None","None","2000","1500","150","250","100","100","Betamon","1000","-1","-1","100","-1","-1","5","40","-1","-1","-1","35","False","False","Betamon","Gomamon","None","None","None","HKabuterimon","Phoenixmon","None","None","None","None"
Agumon,"Agumon","Agumon","Meat","Rookie","Vaccine","Fire","None","Battle","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Agumon.DigimonSprite_Agumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Agumon/SkeletalMesh_Agumon.SkeletalMesh_Agumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Agumon/Animation_Agumon.Animation_Agumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Agumon/DigimonMaterial_Agumon.DigimonMaterial_Agumon'"")","0","15","40","20","5","1","24","0","100","1.000000","J_head","J_joe","J_chest","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/Footstep_Player.Footstep_Player'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack.Agumon_Attack'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack02.Agumon_Attack02'","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","1","5","9","13","17","21","-1","-1","0","2","3","4","5","9","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","58","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_attack.Agumon_Anim_attack'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_attack2.Agumon_Anim_attack2'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_special.Agumon_Anim_special'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_damage.Agumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_guard.Agumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_getup.Agumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_down.Agumon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_win.Agumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_eat.Agumon_Anim_eat'","1000","500","100","50","50","50","Koromon","1","1","1","-1","-1","-1","0","15","-1","-1","-1","-1","False","False","Koromon","None","None","None","None","Greymon","Meramon","Birdramon","Centarumon","Monochromon","Tyrannomon"
SnowAgumon,"SnowAgumon","SnowAgumon","Meat","Rookie","Vaccine","Ice","None","Battle","Day","Neutral","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_SnowAgumon.DigimonSprite_SnowAgumon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Agumon/SkeletalMesh_Agumon.SkeletalMesh_Agumon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Agumon/Animation_Agumon.Animation_Agumon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Agumon/DigimonMaterial_SnowAgumon.DigimonMaterial_SnowAgumon'"")","0","15","40","20","5","1","24","0","100","1.000000","J_head","J_joe","J_chest","J_toe_r","J_toe_l","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/Footstep_Player.Footstep_Player'","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Eating01.Eating01'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack.Agumon_Attack'","/Script/Engine.SoundWave'/Game/Audio/SFX/BattleVoices/Agumon_Attack02.Agumon_Attack02'","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00003.SL_00003'","1","5","9","13","17","21","-1","-1","9","11","33","34","35","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","58","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_attack.Agumon_Anim_attack'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_attack2.Agumon_Anim_attack2'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_special.Agumon_Anim_special'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_damage.Agumon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_guard.Agumon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_getup.Agumon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_down.Agumon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_win.Agumon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Agumon/Agumon_Anim_eat.Agumon_Anim_eat'","1000","500","100","50","50","50","Koromon","1","1","1","-1","-1","-1","0","15","-1","-1","-1","-1","False","False","Koromon","None","None","None","None","Greymon","Meramon","Birdramon","Centarumon","Monochromon","Tyrannomon"
Andromon,"Andromon","Andromon","DeluxeMushroom","Ultimate","Vaccine","Mech","Battle","Air","Day","MP and Brains","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Andromon.DigimonSprite_Andromon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Andromon/SkeletalMesh_Andromon.SkeletalMesh_Andromon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Andromon/Animation_Andromon.Animation_Andromon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Andromon/DigimonMaterial_Andromon.DigimonMaterial_Andromon'"")","3","40","80","32","6","1","36","0","200","1.000000","J_kao","J_kao","J_mune","J_tuma_R","J_tuma_L","/Script/Engine.SoundWave'/Game/Audio/SFX/Movement/SL_00017.SL_00017'","None","None","None","None","2","6","11","16","21","-1","-1","-1","8","13","14","15","19","20","40","41","42","43","44","45","46","47","-1","-1","42","101","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_attack01.Andromon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_attack02.Andromon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_special01.Andromon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_damage.Andromon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_guard.Andromon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_getup.Andromon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_down.Andromon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_glad.Andromon_Anim_glad'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Andromon/Andromon_Anim_eat.Andromon_Anim_eat'","4000","6000","400","600","400","600","None","2000","4000","200","400","200","400","5","40","-1","95","30","30","False","True","Meramon","Centarumon","Ogremon","Leomon","Angemon","None","None","None","None","None","None"
Angemon,"Angemon","Angemon","SageFruit","Champion","Vaccine","Air","None","Battle","Day","MP and Brains","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Angemon.DigimonSprite_Angemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Angemon/SkeletalMesh_Angemon.SkeletalMesh_Angemon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Angemon/Animation_Angemon.Animation_Angemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Angemon/DigimonMaterial_Angemon.DigimonMaterial_Angemon'"")","2","20","80","24","4","1","36","0","300","1.300000","J_neck","J_neck","J_center","J_toe_l","J_toe_r","None","None","None","None","None","7","12","17","-1","-1","-1","-1","-1","10","12","13","17","18","19","20","21","22","23","-1","-1","-1","-1","-1","-1","20","81","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_attack01.Angemon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_attack02.Angemon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_special01.Angemon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_damage.Angemon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_guard.Angemon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_getup.Angemon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_down.Angemon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_win.Angemon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Angemon/Angemon_Anim_eat.Angemon_Anim_eat'","1500","2000","150","150","150","250","Patamon","-1","1000","-1","-1","-1","100","1","20","-1","-1","-1","35","False","True","Patamon","Elecmon","None","None","None","Andromon","Phoenixmon","None","None","None","None"
Bakemon,"Bakemon","Bakemon","HappyMushroom","Champion","Virus","Air","None","Ice","Sunset","MP and Brains","/Script/Engine.Texture2D'/Game/UI/Images/DigimonSprite_Bakemon.DigimonSprite_Bakemon'","/Script/Engine.SkeletalMesh'/Game/Digimon/Characters/Bakemon/SkeletalMesh_Bakemon.SkeletalMesh_Bakemon'","/Script/Engine.AnimBlueprintGeneratedClass'/Game/Digimon/Characters/Bakemon/Animation_Bakemon.Animation_Bakemon_C'","(""/Script/Engine.Material'/Game/Digimon/Characters/Bakemon/DigimonMaterial_Bakemon.DigimonMaterial_Bakemon'"")","6","20","80","33","8","1","36","0","300","1.000000","J_head","J_mouth","J_center","None","None","None","None","None","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/VLALL_00001.VLALL_00001'","None","2","6","10","14","18","22","-1","-1","16","17","18","19","20","21","23","32","34","37","-1","-1","-1","-1","-1","-1","18","61","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_attack01.Bakemon_Anim_attack01'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_attack02.Bakemon_Anim_attack02'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_special01.Bakemon_Anim_special01'","None","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_damage.Bakemon_Anim_damage'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_guard.Bakemon_Anim_guard'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_getup.Bakemon_Anim_getup'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_down.Bakemon_Anim_down'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_win.Bakemon_Anim_win'","/Script/Engine.AnimSequence'/Game/Digimon/Characters/Bakemon/Bakemon_Anim_eat.Bakemon_Anim_eat'","1500","2500","150","100","150","100","None","-1","1000","-1","-1","-1","-1","3","20","50","-1","-1","28","False","False","Elecmon","Tentomon","None","None","None","SkullGreymon","Giromon","None","None","None","None"
