---,Level Text,Level Text Description,Audio,Block Camera?,Ogremon Event?,Player Transform,Partner Transform,Monitors,Item Spawn
AmidaForest,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""705B0AA44C937196E1FBFFA99954F536"", ""Amida Forest"")","","Amida Forest","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=69710.000000,Y=44820.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.707107,W=0.707107),Translation=(X=69710.000000,Y=38800.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=69710.000000,Y=44820.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=69710.000000,Y=38800.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientGlacialRegion1,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""1180F4794E2BF39BAD163D805BA222A1"", ""Ancient Dino Region"")","","Ancient Glacial Region","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=2100.000000,Y=2340.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=6680.000000,Y=2750.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=2100.000000,Y=2340.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=6680.000000,Y=2750.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientGlacialRegion2,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""1180F4794E2BF39BAD163D805BA222A1"", ""Ancient Dino Region"")","","Ancient Glacial Region","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=3600.000000,Y=2440.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=8300.000000,Y=3000.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=3600.000000,Y=2440.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=8300.000000,Y=3000.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientGlacialRegion3,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""713EF2D84749469659B049808EA8C392"", ""Ancient Glacial Region"")","","Ancient Glacial Region","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4500.000000,Y=10500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=7600.000000,Y=10900.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4500.000000,Y=10500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=7600.000000,Y=10900.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientGlacialRegion4,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""713EF2D84749469659B049808EA8C392"", ""Ancient Glacial Region"")","","Ancient Glacial Region","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=6000.000000,Y=10900.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=7500.000000,Y=10900.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=6000.000000,Y=10900.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=7500.000000,Y=10900.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientSpeedyRegion1,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""4076CBFF47CF7D2F472F388860BE23EE"", ""Ancient Speedy Region"")","","Ancient Speedy Region","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=-1290.000000,Y=520.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=-0.000000,Y=0.000000,Z=-0.939693,W=0.342020),Translation=(X=1000.000000,Y=700.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=-1290.000000,Y=520.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=1000.000000,Y=700.000000,Z=200.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientSpeedyRegion2,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""4076CBFF47CF7D2F472F388860BE23EE"", ""Ancient Speedy Region"")","","Ancient Speedy Region","False","False","((Rotation=(X=0.000000,Y=-0.000000,Z=0.707107,W=0.707107),Translation=(X=8500.000000,Y=5500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=7000.000000,Y=6000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=8500.000000,Y=5500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=7000.000000,Y=6000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientSpeedyRegion3,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""4076CBFF47CF7D2F472F388860BE23EE"", ""Ancient Speedy Region"")","","Ancient Speedy Region","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=6200.000000,Y=6000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=6200.000000,Y=6000.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AncientSpeedyRegion4,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""4076CBFF47CF7D2F472F388860BE23EE"", ""Ancient Speedy Region"")","","Ancient Speedy Region","False","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-1.000000,W=0.000000),Translation=(X=8500.000000,Y=6500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4500.000000,Y=6500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=8500.000000,Y=6500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)),(Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=4500.000000,Y=6500.000000,Z=100.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
AndromonRoom,"NSLOCTEXT(""[D9F5437947B1A70C3D8F7D8DBE5DECF8]"", ""09F4FFCA4C387B38FBC29AAC6AF7EEB5"", ""Factorial Town"")","","Factorial Town","True","False","((Rotation=(X=-0.000000,Y=0.000000,Z=-0.707107,W=0.707107),Translation=(X=300.000000,Y=-100.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","((Rotation=(X=0.000000,Y=-0.000000,Z=0.000000,W=1.000000),Translation=(X=300.000000,Y=-100.000000,Z=300.000000),Scale3D=(X=1.000000,Y=1.000000,Z=1.000000)))","",""
