---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_12,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/DigimonVoices/Birdramon.Birdramon'","None"
NewRow_13,"Delay","None","","!=","0","0","0","","False","0.750000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_45,"ShowTextBox","Saberdramon","NSLOCTEXT(""[CD5C225448555222050A02B677D03D82]"", ""AD1EE074471DF401DF7127B3BE20E723"", ""I\'ve been looking around from the sky."")","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"switch Case","None","","!=","8","0","0","(5,8,12,15,19,22)","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"Set PStat","None","","!=","8","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_46,"ShowTextBox","Saberdramon","NSLOCTEXT(""[CD5C225448555222050A02B677D03D82]"", ""2EFDA3324149EFF5F7EABD9086EE5E51"", ""To the north, there\'s ice and snow. Living in such a cold place is crazy."")","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"Set PStat","None","","!=","8","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_47,"ShowTextBox","Saberdramon","NSLOCTEXT(""[CD5C225448555222050A02B677D03D82]"", ""CB0D8F7C4EEC0FC4F43693B63A1582F1"", ""There\'s a small city made of iron to the west."")","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_48,"ShowTextBox","Saberdramon","NSLOCTEXT(""[CD5C225448555222050A02B677D03D82]"", ""8D4E0F1E40E47A9D61758A8BD41D190E"", ""But the entrance and exit are closed. I can fly there."")","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
