---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_9,"entity Look At Entity","None","","!=","100","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"entity Look At Entity","None","","!=","101","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"entity Look At Entity","None","","!=","0","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"If Trigger","None","","!=","165","0","25","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_37,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""F390682C4D227BF76AB31F9FF1D1CB9A"", ""It\'s the Speedy Time Zone beyond this point. Don\'t get too close."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""2222D8E04470158A1ED2D7A77DA11DE5"", ""There are two goals for me. One is to find the Island\'s danger."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""E71FFE844009DB7D936639AAD2BA2497"", ""The other is to get Digimon into the city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_38,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""074342F54E6AFD012E484386F27EB541"", ""And your point is?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((10, NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""8838EC224393428AD37579AEB23BC0D7"", ""Please help me"")),(28, NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""F6FA2C0742EE5D342FF450BE8E9C4E9C"", ""Oh, never mind"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_39,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""94407B664B79BD3F9200CEA16F6BF9AC"", ""I can\'t. I gotta guard this forest."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""5BF9FACC465ACBECB07CD1B96539BF32"", ""Then, do you know anything about the island\'s danger?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_40,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""73243BBE43094F7B54D752A28F9BA32B"", ""I know nothing. Wait up."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_41,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""1D5A5F4D421A58CF11C368B7BA26E813"", ""I remember a big rock falling from the sky not too long ago."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Player","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""AA379F2D453CB5A70D3DE5801933A061"", ""Where did it fall?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_42,"ShowTextBox","Tyrannomon","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""F38E6AB04EC0CF9A563CC0B22A070292"", ""In Speedy Time Zone. On the other side of the forest."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[578AF142457994B42A1838A018395C2A]"", ""8E1CBE914B2CA663E4AB61A04D1D0C50"", ""Let me go! I may be able to find some clues!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_43,"ShowTextBox","Tyrannomon","INVTEXT(""..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
