---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_10,"If Technique","None","","!=","25","0","4","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[2D400CCC4EFB4A23E32647895892AAD4]"", ""38C2E4D34FF2242AFC8235AF992D8FA9"", ""You\'re strong. There\'s nothing to teach you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[2D400CCC4EFB4A23E32647895892AAD4]"", ""EC827CE64DEB0903FE86D9B9357A79DF"", ""We\'re researching Techniques. It\'s difficult to master hard Techniques."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[2D400CCC4EFB4A23E32647895892AAD4]"", ""6FED6AD149F5BAAD5C9D09B4B960FC09"", ""If you have ability, you might master the Techniques. Want to master the hard ones?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((7, NSLOCTEXT(""[2D400CCC4EFB4A23E32647895892AAD4]"", ""2EC604394531CE6D75210AB7CF4DD889"", ""Of course!"")),(19, NSLOCTEXT(""[2D400CCC4EFB4A23E32647895892AAD4]"", ""BA66BDB74B45D9A11CF796B839ABBBE1"", ""No, I don\'t"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"if Partner Stat","None","",">=","8","500","10","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[2D400CCC4EFB4A23E32647895892AAD4]"", ""22284CD7464775223C5F94A7B4378682"", ""You lack Defensive Power. Train more."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"if Partner Stat","None","",">=","9","500","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
