---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""36466F984489C92ADABE4188297D95BD"", ""I\'m tired of training here. What should I do?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""0C49AB44441C01E6B7F35689AF584AA0"", ""What to do?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""91C93C4D4B2BA71B676513A31506422D"", ""Where do you train?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((5, NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""F80F4D3A41F61910BD192C9CBD5F8CA3"", ""Maybe it\'s a training ground"")),(7, NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""A294DF3E45F279FD02C8A29763ABF18F"", ""Maybe it\'s an Arena"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""57CFABDF4AE4BDBDA30F1FB47362233E"", ""I\'m tired of training. I want to do live battle."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Kabuterimon","NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""D2BD87A94FC07E2F090304B8A2856B0A"", ""I want to go there. I\'ll train there."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Entity Move To Location","None","","!=","3","0","0","","False","0.000000","()","()","(X=6000.000000,Y=7200.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_7,"ShowTextBox","None","NSLOCTEXT(""[C4727E754F6D7745F6925D89D6628F0A]"", ""BD4F4E144F4E9BD897011B8834857E17"", ""Kabuterimon joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"unload Entity","None","","!=","3","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"Set Trigger","None","","!=","0","34","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
