---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_25,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=1650.000000,Y=4590.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_26,"fadeCamera","None","","!=","0","0","0","","True","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_32,"Delay","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_27,"move Camera","None","","!=","0","0","0","","False","0.000000","()","()","(X=1240.000000,Y=4420.000000,Z=600.000000)","(Pitch=-40.000000,Yaw=40.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"fadeCamera","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_30,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_29,"call Event","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"Spawn Digimon","NativeForest_Coelamon","","!=","0","0","0","","False","0.000000","()","()","(X=1650.000000,Y=5170.000000,Z=0.000000)","(Pitch=0.000000,Yaw=180.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"entity Look At Entity","None","","!=","100","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_35,"entity Look At Entity","None","","!=","101","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_36,"entity Look At Entity","None","","!=","0","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"If Trigger","None","","!=","98","0","30","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Coelamon","NSLOCTEXT(""[1951EAF746D022EE46FCF3ABB873AF43]"", ""309B68C24353693C0F0549AB76CBAEDB"", ""Hey, are you human?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Coelamon","NSLOCTEXT(""[1951EAF746D022EE46FCF3ABB873AF43]"", ""2D5811434C58A86F01D82B8700128038"", ""I am Coelamon, the fish Digimon. Did you come to see me?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_37,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((16, NSLOCTEXT(""[1951EAF746D022EE46FCF3ABB873AF43]"", ""35480A9E44F69ADEBCD6729C5055F904"", ""Yes, we looked all over"")),(18, NSLOCTEXT(""[1951EAF746D022EE46FCF3ABB873AF43]"", ""51E190CE480EFE9B2F43D18E8B363188"", ""Now that you mention it"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Coelamon","NSLOCTEXT(""[1951EAF746D022EE46FCF3ABB873AF43]"", ""F87853EA46FF276CAE3F2281FD59AC6D"", ""Ha-ha, is that so!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"Jump To","None","","!=","0","0","19","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Coelamon","NSLOCTEXT(""[1951EAF746D022EE46FCF3ABB873AF43]"", ""E074A89A49D095FDBB019C87C630D75C"", ""I already know what you want."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
