---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""A0EC33544F508D9A35D0DFBDCC01E6D7"", ""Oh, {Player}, {Partner} you came. Look at this great File City Arena. Cool, huh!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""CD60182C4527CD99F169CC90DD306D0E"", ""Soon contestants and fans will fill this up. You will also bring joy to the fans, right?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""0088437140AEDDCC4DD08FA4B64EB48D"", ""They\'ll prepare money and prizes for tournament winners. You got nothing to lose."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""C821960B4716392160DF1A96459C176C"", ""For details on the tournament, check out the machine there."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""2DA5C1F9463B6D8B7779EF88D0C15C9B"", ""I\'m glad you came. Do you wanna enter the tournament?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((7, NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""D5DDD23D42964BE7F7237FABEDD5D54A"", ""Yes"")),(8, NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""76ECDC4A48398E5C4966B2AE9DB1370D"", ""No"")),(9, NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""95419F544C8BFBFFCE8676B0C4AFB17D"", ""What do you mean?"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""2F7C88724D044C6737D531A41BBDA62E"", ""Once inside, at start time, go down the left stairs in order to compete in battle."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Greymon","NSLOCTEXT(""[1A198BCA46A98AB2EFB586AE99F8ECFE]"", ""AA00D8744549CC2D407A33A03BF7086C"", ""Registration is free. You can register for only today\'s and tommorrow\'s competition."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
