---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_4,"Random PStat","None","","!=","13","3","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"if PSTAT","None","","!=","13","0","5","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""492188474E5B6796B01E1E874CF63304"", ""Rest as much as possible. That\'s the key to your Digimon\'s health."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"if PSTAT","None","","!=","13","1","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""1CFB31004CD70AC7F5A5B6B9D0DB5B56"", ""Alright. Let me tell you how the city will grow and prosper..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""5D9BEA8A4B0CE0097645C5B8BD7C6E14"", ""When a Rookie Digimon comes to the city, it\'s plus one point."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""11DBD1704B6CC098F5332BBAB9896CC0"", ""And when a Champion Digimon comes to the city, it\'s plus two points."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""0EBCB3984A2188CBAA860EB93A2EEC33"", ""If an Ultimate Digimon comes to the city, it\'s plus three points."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""B04ACF684E24D6C9A6CEC8B7270792C1"", ""However, there are three Champion Digimon that are not very useful."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""0B48293E45CAF9C2358D32919B18C224"", ""When one of them comes, it\'s only plus one point."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"if PSTAT","None","","!=","13","2","19","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""1CB1E1F9410090DD500F52BF38B8EDED"", ""Let me tell you a little bit about Types."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""0B471DF24A4CBA4AF76D87A82B671E1E"", ""If an opponent is the same Type as your Digimon partner, he may not battle."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""064929DD4C5E6EA2D312AEA13CBCD228"", ""And if your Digimon\'s Type is not compatible, he can be refused at a door."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""E20847FD4CED5773B06DD2A280107307"", ""Other than that, maybe you don\'t have to worry about it."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"if PSTAT","None","","!=","13","3","27","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""5D112E8644FC3B8278F899BCE5845ED1"", ""Let me tell you about Tamer Level."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""81DD4B97431C48CAA34301BAA1851A87"", ""Tamer Level will increase if you can raise Digimon to Ultimate Digimon."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""95CB1BAB45905CA32B2814BFEF6603E5"", ""And winning a championship in a high level tournament is very good."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""D36E76C94CF855E0BA92279B248701A8"", ""It will go up naturally. You don\'t have to worry about it too much."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""5B1F23384421A8EEA92CFC82145FCABE"", ""On the other hand, you have to pay attention not to let it go down."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""383A1CF94252D0294E426D886817BFAA"", ""If your Digimon fades away, your Tamer Level will go down for sure."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_24,"ShowTextBox","Coelamon","NSLOCTEXT(""[0B15C8A74E53A0BF1440E6AD5D96DB12]"", ""65EE7FBA49C74E4DF080738F90457DAC"", ""If you regularly have care mistakes, it might go down. Be careful."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_25,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
