---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_7,"If Trigger","None","","!=","73","0","8","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"Set Trigger","None","","!=","0","73","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""6726444F4ED7FB325B325B95E36326D8"", ""Hi, {Player}, I expanded my Meat farm."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""2598928B4ADB095AC79A1B87FBBBDE1F"", ""I\'ll give you three pieces of Giant Meat a day."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""E7058CF74B8DF95FA1DC0DACC0094318"", ""If you want extra, I\'ll sell it to you for five hund bits each."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""917264744842D31F218A9F8DE9713A89"", ""I\'ll be in charge of this farm for Tanemon. He\'s resting somewhere."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""AFF563AC42A0177E3F24019C0719804C"", ""Here\'s three pieces of Giant Meat for today."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"If Trigger","None","","!=","87","0","15","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"Set Trigger","None","","!=","0","87","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Give Items","None","","!=","0","0","13","","False","0.000000","((""GiantMeat"", 3))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""FC8106DF4C606EFADC4FBD9208F02E0D"", ""You got too many Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","None","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""2E1B55964B98BF41BDA222BD8F1A1806"", ""I got three pieces of <Item>Giant Meat</>!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""96301F904AB0B822671EDB9C2FC6F05D"", ""I\'ll give you more tomorrow. Or you can buy more now. Five hund bits each?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((17, NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""3B304C314308C4943602229519858A76"", ""Buy"")),(27, NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""03D589ED4381FE469CC1DFBDFDF1FC6B"", ""Don\'t buy"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"get Money","None","","!=","500","0","20","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""3696E305467A42B13918EEBD54062F7E"", ""You need more money."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"Give Items","None","","!=","0","0","23","","False","0.000000","((""GiantMeat"", 1))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""FC8106DF4C606EFADC4FBD9208F02E0D"", ""You got too many Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_26,"ShowTextBox","None","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""519E434B4419BBEBE7542F9A7E9D9E8A"", ""I got <Item>Giant Meat</>!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_25,"reduce Money","None","","!=","0","500","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""ECDBAB904886E85D3D2320831A97F7D7"", ""Do you want to buy more?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_24,"Jump To","None","","!=","0","0","16","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Palmon","NSLOCTEXT(""[81EAFD2A4369030FB5048FA68270ACA3]"", ""7A4D38104E824ACA0356B6BFD7F8540D"", ""See you tomorrow."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
