---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_2,"If Trigger","None","","!=","59","0","7","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"Set Trigger","None","","!=","0","59","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Patamon","NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""3FCB5192466C013A7025F08AA1F54C1D"", ""Welcome to my shop."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Patamon","NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""07B9EABA455720EFFE3E26A356D5B41D"", ""Look, {Player}. This is my shop. I\'m going to sell all kinds of Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Patamon","NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""54F9CE9B484DE45CF6D12EA708975991"", ""I\'ll have more stuff soon. But I need Digimon who can help me here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Patamon","NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""661BD42848FE496C6DCB98A3B3C5EB6A"", ""What are you going to do?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((9, NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""1DBC1CCD47A7F22B06C6399F34AB6232"", ""Buy"")),(11, NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""B45AA32D4963101FF5B64281F4C35C8E"", ""Sell"")),(13, NSLOCTEXT(""[598EBC934B03FC50153212841ADC797A]"", ""F1D239204389C9257875CDAEB3FB61EE"", ""See ya"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"Open Shop Buy","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"Open Shop Sell","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
