---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_2,"If Trigger","None","","!=","70","0","6","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"Set Trigger","None","","!=","0","70","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Tentomon","NSLOCTEXT(""[14D81FE047D6DF76D8576784DA81AFAB]"", ""85783A2142795C83F718EBA9199A73CA"", ""Mmmm. I saw some delicious plants, so I decided to eat."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Tentomon","NSLOCTEXT(""[14D81FE047D6DF76D8576784DA81AFAB]"", ""BD3D3167425288ADC94D3E9E8ABE37C1"", ""I guess it became too breezy in the city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"Get Prosperity Points","None","",">","30","0","11","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Tentomon","NSLOCTEXT(""[14D81FE047D6DF76D8576784DA81AFAB]"", ""ECC2EF024A5171AA2F4AB99DF4E3080F"", ""Oh, I happened to pick up a <Item>Happy Mushroom</> the other day."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_16,"ShowTextBox","Tentomon","NSLOCTEXT(""[14D81FE047D6DF76D8576784DA81AFAB]"", ""1A743CFE455520BDBBAB8A8FD817AC7E"", ""I hear it\'s a rare kind."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"ShowTextBox","Tentomon","NSLOCTEXT(""[14D81FE047D6DF76D8576784DA81AFAB]"", ""81C3AC3545442B8E518272962C5C59CB"", ""I also heard about a <Item>Deluxe Mushroom</>. It\'ll be nice to find."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"switch Case","None","","!=","10","0","0","(12,15,18,21,24,27,30,33,36,39,42)","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
