---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_10,"Get Prosperity Points","None","","<","20","0","3","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"Jump To","None","","!=","0","0","4","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"If Trigger","None","","!=","98","0","6","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Tsunomon","NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""5C0ED6F548C59590B98136929196FDD4"", ""I got something to say."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((20, NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""D287C1374A1621274AE781A6F9CCA523"", ""What is it?"")),(25, NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""4336DF894A287B75A509ABACD1DC8C53"", ""Laters!"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"If Trigger","None","","!=","98","0","10","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Tsunomon","NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""3C375B964AA80B0987D6DBBFC3A9BE1B"", ""Did you see the Eastern Bridge fixed? We worked so hard."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"Get Prosperity Points","None","","<","2","0","3","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_19,"If Trigger","None","","!=","98","0","15","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"ShowTextBox","Tsunomon","NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""833475AB43A150B900F5B099B22CD582"", ""We\'re fixing Digital Bridge now. Please wait a while."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"ShowTextBox","Tsunomon","NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""BC4E2BFD4DF5298DDAF3BCA54052791C"", ""I hear there\'s a rare Digimon at Coela Point in the south."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"ShowTextBox","Tsunomon","NSLOCTEXT(""[3881A5D242F5C7DF1B7519BB485C8D2E]"", ""79D058D248B8EF5A7D91988EDE4C5838"", ""Rumor has it is that he shows up late afternoon everyday."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
