---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_6,"If Trigger","None","","!=","81","0","18","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"Set Trigger","None","","!=","0","81","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Vegiemon","NSLOCTEXT(""[8B2C04DB4C9FE9C0430B779F06FC6AEA]"", ""A270C4CF454B8B2408DB94A4D0C90EBB"", ""Heh, heh, heh! {Player}, look!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_28,"move Camera","None","","!=","0","0","0","","False","0.500000","()","()","(X=11281.102539,Y=12206.620117,Z=637.695923)","(Pitch=-29.599585,Yaw=-126.595032,Roll=0.000157)","VAlign_Bottom","None","None"
NewRow_9,"Delay","None","","!=","0","0","0","","False","1.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"Camera To Player","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_35,"Delay","None","","!=","0","0","0","","False","0.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Vegiemon","NSLOCTEXT(""[8B2C04DB4C9FE9C0430B779F06FC6AEA]"", ""F10110A94C43079818BA7AA506292D26"", ""We can grow lots of Sirloin. I\'ll give you three Sirloins a day."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Vegiemon","NSLOCTEXT(""[8B2C04DB4C9FE9C0430B779F06FC6AEA]"", ""8EE26B2D40EC72447CD5AB98D20C4C1E"", ""I also started to grow rare veggies! Buy as many as you want!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Vegiemon","NSLOCTEXT(""[8B2C04DB4C9FE9C0430B779F06FC6AEA]"", ""75A046964AF211B17096F1B4FAAF6498"", ""Here\'s today\'s portion of Sirloin times three!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"Give Items","None","","!=","0","0","14","","False","0.000000","((""Sirloin"", 3))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Player","NSLOCTEXT(""[8B2C04DB4C9FE9C0430B779F06FC6AEA]"", ""22F059414E70B4D238A7A2965BD82E71"", ""You got too many Items."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_37,"Set Trigger","None","","!=","0","87","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
