---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""2AF79A194B245EB24432A7BC4858670C"", ""Where are we? Is this a dream?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""92642745485A77301C36E9B544139C99"", ""Wow! Who are you? Where is {Partner}?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Frigimon","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""FE0F8A374F019A4B12DF358E932C6E79"", ""Calm down. My name is Frigimon. This is my house. I\'m an Ice Snow Digimon."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Frigimon","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""F50D47364BB72B82E5BAB5ADAC1A0531"", ""You were out cold in the snow. I picked you up and took care of you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Player","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""A53119404CF6A44E354579B7582F0C6B"", ""Oh, {Partner}. I\'m glad you\'re safe!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Frigimon","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""6563CB5241E61C9402352293F001B92D"", ""Hey, are you listening? If I didn\'t find you, you\'d be dead by now!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Frigimon","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""CBCE47C040F54F3213B364A275757516"", ""Oh, sorry. Gee thanks."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""8D7C36FE4EEA1DC7FB9BA690C6482081"", ""Hey, {Partner}, I even hit my head when you suddenly fell down."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Frigimon","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""898A288E42CED5B78EBA4B8399B65C64"", ""{DigimonName} can\'t stand cold. You are so reckless. It\'s all your fault."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[A355802E48D1EBDF0BBCA2AAA8BA0AF7]"", ""8A1D83874FFB7918F85AA5AC34B2F4DE"", ""I didn\'t know. I\'m sorry, {Partner}."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
