---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""34D8E7ED486C9189A30587A86A15DADF"", ""Is somebody there?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""95A9AC5D4D4526AA0B6A95935910D1F4"", ""You can\'t see?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""F1BF39A141FE4ED4C39127A5DC095928"", ""I\'m Whamon. Usually I live in the sea."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""FB24206743DF50B6BC4306BCD273832E"", ""I don\'t have eyes, but I can feel most things."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Player","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""7847E7864EDA3DEDF93852A9B7E24886"", ""I\'m human. My name is {Player}."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""1B1B7CB8486809BAE233F4A3FBCC8EA1"", ""This is {Partner}, my partner and he is {DigimonName}."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""6A9ABC694F9DCCBF01D55B820125615B"", ""I feel some strong power."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""235DE5D54D42D00405AB1A987B557E59"", ""Will you listen to my story? There\'s a beach cave near here where I rest."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""9ABB4FBB41532B3A291D33A97FAC83A5"", ""But, some mean guys kicked me out and I lost my important treasure there."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"Delay","None","","!=","0","0","0","","False","0.750000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""BC5DD6C9421D10CC6DD898AFE529FE32"", ""Mean guys, huh? Doesn\'t sound good."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Whamon","NSLOCTEXT(""[EF094EAB49C57543509D73AC23272894]"", ""4AD76D3C4222A182961B8B8C9AAA047D"", ""Please kick them out. I want you to help me get the cave back."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
