---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","None","NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""2ECC6C0547245A3BF6FC98A6309F7C55"", ""Vending Machine"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""AE95AE514CD9958B0464FBA079058F2E"", ""A vending machine with special prizes. Should I buy something?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((4, NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""960AD259473E5D58B3A50C809EE70B30"", ""Small Recovery: 200 bits"")),(12, NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""415D7C52478805EE04B05F8F740920A1"", ""Portable Potty: 500 bits"")),(21, NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""B8A5BF564F06F657562501856A3E9E55"", ""Don\'t buy"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"get Money","None","",">","200","0","7","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""776D9A574F0739E767C4A5A64C7C80BB"", ""I don\'t got enough money."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"Give Items","None","","!=","0","0","9","","False","0.000000","((""SmallRecovery"", 1))","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Player","NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""EC1D950E4347136D4BF00890A23B3003"", ""Oops, too many things."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"reduce Money","None","","!=","0","200","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","None","NSLOCTEXT(""[87BCD548477B507361211C886E57BA34]"", ""B96AC4594DD76B7A350916A3E6DB4850"", ""<Item>Small Recovery Floppy</> came out!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
