---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_28,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_30,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=-600.000000,Y=-100.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_32,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=-1050.000000,Y=-100.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=-980.000000,Y=180.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_35,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_36,"Entity Move To Location","None","","!=","100","0","0","","False","0.000000","()","()","(X=-740.000000,Y=240.000000,Z=200.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_37,"Delay","None","","!=","0","0","0","","False","2.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[52387CC146535DB49C91B5BA14CB9978]"", ""8971A00140DF02AFD56B79AAADED4884"", ""It looks like a bird\'s nest. What do you think?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
