---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Shellmon","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""E9604EBE4BB5C7C1F3C6ABB22297985D"", ""You saved me!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""B82329474ED294739CD5878C30E5E77B"", ""So it was you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Shellmon","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""DFCAD57B436F140B972EFFAC91B6FC79"", ""This is perfect."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"Delay","None","","!=","0","0","0","","False","0.750000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""BA33EFF5414194B25CF2F0A2BD6B2F8B"", ""What?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Shellmon","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""6DD17A304120A146C7A87F8F3CA050DC"", ""I was headed toward your city to put my talent to good use!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""BBE0325243C937638F50049F989EBA4A"", ""What kind of talent?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Shellmon","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""C5734E3746A533B35601D3A178B06D82"", ""Oh, you don\'t know about me? I\'m famous with Digimon as a know-it-all!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""DB8B18C74987426E1EC111A079F81B9B"", ""Really? I\'ve never heard of you."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Shellmon","NSLOCTEXT(""[482E11C0418E32CF2F563A95335F3564]"", ""BB71D37B4900023EF0542D99C3CE1D51"", ""I\'m ready to go to the city."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
