---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","???","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""BE97BCF9475DB4842D5D6B8F4121C147"", ""Help me!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""31CA7F5E408C39257BAB82838A4402F2"", ""I hear a voice from above. Anybody there?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","???","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""D864CBD842234EC884EC518700937C85"", ""Anybody there?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""5E16E81940F468045C0BFF984217B460"", ""Yes, there is."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","???","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""1F0C259C47FCF8F80454459F540B90BE"", ""Help me! The ground is bulging up."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""E263CC444EFCCD7D3C759A83401FF999"", ""You gotta be kidding."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","???","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""0B052C0E44CD17F5C07D00BD1D29D49E"", ""No, it\'s true. I hear some machinery noise."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""946382AA42B7F05DFA50E5AB05CED0A3"", ""A machine? It must be coming from Ogremon\'s hideout."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","???","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""F3EA7B8145016993F4CADCA3004155C5"", ""You must have done something wrong there, no?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""E9F6DA634F62F50FAF529D91BCDE6AAD"", ""I did many things. It could be the elevator.... I\'ll go back to the hideout and check."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","???","NSLOCTEXT(""[25CEAF274BD089F9C0FC6E864CFCF8DB]"", ""6FBAC4114984D99CDCF20691AD5C72FD"", ""Thanks."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
