---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_64,"Spawn Digimon","Intro2_Jijimon","","!=","0","0","0","","False","0.000000","()","()","(X=10850.000000,Y=13920.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_65,"Spawn Digimon","Intro2_Tokomon","","!=","1","0","0","","False","0.000000","()","()","(X=11000.000000,Y=13950.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_70,"Spawn Digimon","Intro2_Poyomon","","!=","2","0","0","","False","0.000000","()","()","(X=10700.000000,Y=14160.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_66,"Spawn Digimon","Intro2_Tsunomon","","!=","3","0","0","","False","0.000000","()","()","(X=10660.000000,Y=14100.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_68,"Spawn Digimon","Intro2_Koromon","","!=","4","0","0","","False","0.000000","()","()","(X=11090.000000,Y=13990.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_67,"Spawn Digimon","Intro2_Botamon","","!=","5","0","0","","False","0.000000","()","()","(X=10770.000000,Y=14200.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_69,"Spawn Digimon","Intro2_Yuramon","","!=","6","0","0","","False","0.000000","()","()","(X=10720.000000,Y=13950.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_71,"Spawn Digimon","Intro2_Tanemon","","!=","7","0","0","","False","0.000000","()","()","(X=10980.000000,Y=14190.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_72,"Spawn Digimon","Intro2_Punimon","","!=","8","0","0","","False","0.000000","()","()","(X=11100.000000,Y=14090.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_129,"entity Look At Entity","None","","!=","0","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_130,"entity Look At Entity","None","","!=","1","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_131,"entity Look At Entity","None","","!=","2","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_132,"entity Look At Entity","None","","!=","3","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_133,"entity Look At Entity","None","","!=","4","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_134,"entity Look At Entity","None","","!=","5","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_135,"entity Look At Entity","None","","!=","6","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_136,"entity Look At Entity","None","","!=","7","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_137,"entity Look At Entity","None","","!=","8","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_62,"move Camera","None","","!=","0","0","0","","False","0.000000","()","()","(X=10715.000000,Y=14360.000000,Z=330.000000)","(Pitch=-44.000000,Yaw=-66.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_63,"Delay","None","","!=","0","0","0","","False","5.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Jijimon","NSLOCTEXT(""[13BE53284AD66D955D7565AF9622AC5B]"", ""18A3E3EA41D85D266AFC97B9119D9216"", ""He arrived! It worked!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_73,"Play Animation Entity","None","","!=","1","8","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_74,"Play Animation Entity","None","","!=","2","8","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Poyomon","NSLOCTEXT(""[13BE53284AD66D955D7565AF9622AC5B]"", ""A256BCA64BF561A3DF79A9B869B1BDC2"", ""A human. Just like you said, Jiji."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
