---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
1,"Spawn Digimon","MonochromeShop_Gotsumon","","!=","1","0","0","","False","0.000000","()","()","(X=300.000000,Y=300.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
2,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
3,"Entity Move To Location","None","","!=","1","0","0","","False","0.000000","()","()","(X=0.000000,Y=120.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
4,"Delay","None","","!=","0","0","0","","False","1.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
5,"entity Look At Entity","None","","!=","1","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
6,"entity Look At Entity","None","","!=","100","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
7,"Set PStat","None","","!=","3","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
8,"Random PStat","None","","!=","1","99","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
9,"if PSTAT","None","",">","1","49","11","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
10,"Jump To","None","","!=","0","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
11,"if PSTAT","None","",">","1","84","241","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
12,"Jump To","None","","!=","0","0","127","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
13,"ShowTextBox","Gotsumon","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""4D84CCBE4A283F91A875059D819B48EB"", ""Boy, I want some <Item>Meat</>."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
14,"ShowTextBox","Player","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""FFDEE86341D83B07EA63F98672EC20AB"", ""Welcome, so you need some <Item>Meat</>. Well, uh..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
15,"Set PStat","None","","!=","6","6","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
16,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((17, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""2137820A4929A3A0066964940D27EA3F"", ""Raise price"")),(38, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""3BD270AE46662932902558A18598F742"", ""Keep price at 50 bits"")),(41, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""E0346BB14750373E06F36A8CAD56B4AC"", ""Lower price"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
17,"Random PStat","None","","!=","1","4","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
18,"if PSTAT","None","",">","1","0","22","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
19,"Set PStat","None","","!=","6","1","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
20,"ShowTextBox","Player","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""9CD3DEDF4C65B6C6F00C3792C3EAB081"", ""How\'s a 50 bit <Item>Meat</>, for 75 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
21,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((54, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""56863E6B47DE28DB61DC3E8BA3B14F71"", ""Raise 50 to 75"")),(15, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""201882874FA16A257794E5B853C29E1C"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
22,"if PSTAT","None","",">","1","1","26","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
23,"Set PStat","None","","!=","6","2","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
24,"ShowTextBox","Player","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""79D9B54341E410260D93FCAE014B223D"", ""How\'s a 50 bit <Item>Meat</>, for 70 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
25,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((57, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""2C53E8D3457B5C38AAEFBC983FC12147"", ""Raise 50 to 70"")),(15, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""4FC57BDD4F665F5D79C20F9E7046D294"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
26,"if PSTAT","None","",">","1","2","30","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
27,"Set PStat","None","","!=","6","3","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
28,"ShowTextBox","Player","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""0407837545A3E54CA3CB499870FD2A0C"", ""How\'s a 50 bit <Item>Meat</>, for 65 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
29,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((60, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""DF9138CD4DF3956F4B7DB781B393217F"", ""Raise 50 to 65"")),(15, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""9D470971408E1196A54750B672F5757F"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
30,"if PSTAT","None","",">","1","3","34","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
31,"Set PStat","None","","!=","6","4","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
32,"ShowTextBox","Player","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""33FC0535462116EF21F6718EEB419420"", ""How\'s a 50 bit <Item>Meat</>, for 60 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
33,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((63, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""3A6F7A51471D5422DC2C608DA6E04516"", ""Raise 50 to 60"")),(15, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""3C98E6584C382951893BF8A93B1F1C31"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
34,"if PSTAT","None","",">","1","4","38","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
35,"Set PStat","None","","!=","6","5","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
36,"ShowTextBox","Player","NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""5D7768CD4FACB768CEE9D38D801655B7"", ""How\'s a 50 bit <Item>Meat</>, for 55 bits?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
37,"set Selection","None","","!=","0","0","0","","False","0.000000","()","((66, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""46DECF8B499254B2267A63B5BE138D2E"", ""Raise 50 to 55"")),(15, NSLOCTEXT(""[979BF44C436861326B0A0F96A761392C]"", ""28686FAD4858D3030BE35686120E246C"", ""Let me rethink this"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
38,"Set PStat","None","","!=","6","6","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
