---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Player","INVTEXT(""!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""573B4A5B4EDDB01084A74A938F20895C"", ""He\'s there! I found him!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Player","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""502D84BE41384D64DE2DDF91582CF8DD"", ""You\'re the boss!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""A38AF5494D88F77443B346B7FE08E3E1"", ""Nice to meet you. I\'m Analogman."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""C58598A94E08C1426C0CFE93B30B4F12"", ""I know all about you, but I didn\'t know you were a kid."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""CF824EA04608152AF8FD3EB740856853"", ""I can\'t believe a kid has been messing up my plan."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""D059693246E815673A0652B783160231"", ""I was so close to ruling the Net World."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Player","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""2572B64D4E3EE7625D72BAA7B3AE044A"", ""You\'re a grown up! Stop this, you\'re hurting everyone."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""9AA5192545A1589FECF11794622D4B32"", ""I don\'t care if I\'m hurting Digimon."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""33B2793844386FB5495F7692E2EAA57F"", ""Digimon should obey humans like slaves."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Player","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""D29262B4447E98E67F91CD97657FA6B2"", ""You\'re wrong! Digimon have hearts and minds! We\'re friends!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""6F96D1EB447FA99B89E08981B51594E3"", ""Let\'s fight and see if slaves or friends are better."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Analogman","NSLOCTEXT(""[E773B63245369E4020C57EBDEE1D4273]"", ""0FA7C66042C36DD853AB13BCF4A729DC"", ""Your turn, Machinedramon!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
