---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_48,"If Trigger","None","","!=","106","0","26","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_30,"If Trigger","None","","!=","107","0","26","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""CB91C651491C985150E92183E0EA8E30"", ""What is it?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_47,"Delay","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Tinmon","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""A2C57AC94FA6A182DDD421942DFCC619"", ""Oh, welcome back, Hagurumon!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""989388F548D2808888BF3984CBE3F4EC"", ""Hagurumon?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""024FD0DC4DEBE19A96F001B697BE1DF6"", ""What\'s going on?!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Toys","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""A995FE9441BF305C7F5D92A3278B7A6D"", ""It\'s an old tale. A bad guy came from far away to this island."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Toys","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""26D36A1F4C8590926EF9CE91A63F813F"", ""The bad guys told Digimon: This island is ours."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Toys","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""B900E69C43E302DBE6E423962DB97D4A"", ""Digimon told them: That\'s not true. This island is for everybody."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Toys","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""63F407924D4350DAEAE43CAE0F46C9C8"", ""Because Digimons unified and challenged the bad guys, the bad guys were taught a lesson."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Toys","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""25923C1744B9834BB8B6D9B5D937B845"", ""But the bad guys said: Wait, we\'ll get you later. ...and they disappeared."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Toys","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""E3A422F24B51DB68A58AA9979370CB1B"", ""It\'s an old tale."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_32,"If Trigger","None","","!=","107","0","16","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_50,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_33,"Set Trigger","None","","!=","0","43","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_51,"Set Trigger","None","","!=","0","107","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""577B3D434CD5EF5DCDE5109FDC26A2DA"", ""Hmmm, I feel joyous... Oh, wait up."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""A2AC216B49ADED3C223A59BD4FE0A2FD"", ""That story from the song is an old tale of this island, isn\'t it?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""6E65EA3041C66C5F76BB16A635AE591C"", ""About the Digimon defeating the bad guys..."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Player","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""634C77C34EDD8E8D7A4C40B80FED6BF1"", ""Hmmm, I wonder who the bad guys were in the story?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Tinmon","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""220F0FE14D45C2E519D102884A88C065"", ""Thanks for helping me. This is to show my gratitude."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_31,"Play Sound","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","/Script/Engine.SoundWave'/Game/Audio/SFX/UI/UI_DigimonRecluted.UI_DigimonRecluted'","None"
NewRow_14,"ShowTextBox","None","NSLOCTEXT(""[05E61EAF43335DD037F8E3A956D5F63F]"", ""37D22B4C4C0A09354D767B947706A07F"", ""Monzaemon\'s Stuffed Animal joins the city!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"End Dialogue","None","","!=","0","0","0","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_34,"If Trigger","None","","!=","107","0","29","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
