---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow_19,"Spawn Digimon","TrashMountain_Event_Sukamon","","!=","4","0","0","","False","0.000000","()","()","(X=-1500.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"fadeCamera","None","","!=","0","0","0","","True","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_18,"Delay","None","","!=","0","0","0","","False","1.200000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_21,"move Camera","None","","!=","0","0","0","","False","0.000000","()","()","(X=-957.603394,Y=1785.064209,Z=144.862396)","(Pitch=-8.395638,Yaw=-59.197220,Roll=0.000065)","VAlign_Bottom","None","None"
NewRow_26,"Teleport Entity","None","","!=","100","0","0","","False","0.000000","()","()","(X=-650.000000,Y=1440.000000,Z=100.000000)","(Pitch=0.000000,Yaw=300.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_20,"fadeCamera","None","","!=","0","0","0","","False","0.500000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""EABBD51C4073D5612F2ED492ACEC7B72"", ""Wow it stinks! Is this a Trash Pile?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""4127799E410A8964FB792B8798975E5A"", ""I didn\'t know there\'s one in Digimon World."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_22,"Entity Move To Location","None","","!=","4","0","0","","False","0.000000","()","()","(X=-650.000000,Y=1240.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_23,"entity Look At Entity","None","","!=","4","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_24,"Delay","None","","!=","0","0","0","","False","3.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""F74A4F2B46F04D26115477BCEC8D602E"", ""Wow, this is interesting! I\'ve never seen anything like this!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""CFCAB7134EBCB8955D5322A6C30AE830"", ""Oh my goodness! The poop are moving and talking!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""0D8D4B164E80756C419DD897AE503E77"", ""Are you talking about me? I\'m Sukamon... I\'m a Mutant Digimon."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""9B2FAB0A47975641A46CB59CF224DE49"", ""You are not poop?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""D57627C3471A8EA182D3979889E52741"", ""In a way, you are right, cuz we are made from Digital Waste."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""91DD55754B3B3EF5C5EC5BA4B8272F4C"", ""Should we ask him to come to the city, too? We shouldn\'t be prejudiced."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""521DCB70464FB07D3E68058BD89A3744"", ""Are you planning to live here?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""377896E9433AE873988C548EABD13916"", ""What? I never thought about it."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""BEB523B3430E0E54B662D792427416F7"", ""Well, this is a paradise only for the Sukamon Tribe. Others can\'t live here."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""7AEC12C74DD18463F6814E97802268DE"", ""Then you can\'t live in other places?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""19BA4FF54AE3B01AF741859966754AE8"", ""Of course not! What do you think?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""3DD343B44C2FFD0BD8882D873799E7C5"", ""I see. That\'s what I thought."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_13,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""9347676A48EAF62BD67D82869242A956"", ""Well, although you can\'t live here, you can look around."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_14,"ShowTextBox","Player","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""6E2B0D96455CE3C56619C7A52B2A3C1F"", ""Oh, just to look. Okay."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_15,"ShowTextBox","Sukamon","NSLOCTEXT(""[CF564B79411EA6E908F95DB86BC784EB]"", ""D66E8976411CEF66B3D7078DDD115DA2"", ""Oh, by the way, don\'t ever make the King mad."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
