---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","Sukamon","NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""928B80E7444B4556A26735B0F7EE229B"", ""I am collecting Digimon cards myself."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Sukamon","NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""9F43C3A5442165E40F61E7921A82DC23"", ""I really want a KingSukamon card. Will you trade for my Etemon card?"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_12,"if Card","None","","!=","21","1","5","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"Jump To","None","","!=","0","0","13","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((6, NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""98E1353E4CC1BBF2B5FD2797EA0E766C"", ""Trade"")),(14, NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""8ADFE80145758CCCFFB861A4BDA5AE6C"", ""Don\'t Trade"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_4,"if Card","None","","!=","14","9","9","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_5,"ShowTextBox","Sukamon","NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""6A31FA6E46CE10A1F7BDF2BAB19AEC47"", ""Hey, you have too many Etemon cards! Don\'t do it."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_11,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"ShowTextBox","Sukamon","NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""59827F4D4B253D030116AF876FA1B23D"", ""Oh, thank you!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_7,"give Card","None","","!=","0","21","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"take Card","None","","!=","0","14","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"ShowTextBox","Player","NSLOCTEXT(""[7DA601B24AE7DC19A91DA5AC37C70724]"", ""BAA99DE748B993BFA12F8C834C5466A4"", ""Sorry, but I don\'t have it."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
