---,Condition,Name,Text,Operator,If Value,If Output,Jump To Line,Switch,Boolean,Float,Give Items,Selection,Location,Rotation,Widget Position,play Sound,DataTable
NewRow,"ShowTextBox","None","NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""61B87C2C45610D61464737838DA468D8"", ""MP Vending Machine"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_0,"ShowTextBox","Player","NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""389CEC6B4B51D553F2AD17960A0BFFCF"", ""This machine recovers MP."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_1,"set Selection","Player","","!=","0","0","0","","False","0.000000","()","((4, NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""83F162714C1C8DC1452775BF9F466CA5"", ""100 MP: 200 bits"")),(11, NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""8E44739F4BC1848FBBE9C4B4F3B0043F"", ""1000 MP: 1800 bits"")),(18, NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""BCDD73714B3346B3CCFB93AED42AEA85"", ""Don\'t use"")))","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_6,"get Money","None","","!=","200","0","7","","True","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_8,"ShowTextBox","Player","NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""24938C6848DDFADDE074C7A14E8BE07C"", ""I don\'t have enough bits."")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_2,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_10,"Add Stats","None","","!=","5","100","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_17,"reduce Money","None","","!=","0","200","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_9,"ShowTextBox","Player","NSLOCTEXT(""[3F5FA069494163E3A421F8B7D818EC14]"", ""8741E9EE4D554078769A289C93915A6E"", ""My MP level went back up!"")","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
NewRow_3,"End Dialogue","None","","!=","0","0","0","","False","0.000000","()","()","(X=0.000000,Y=0.000000,Z=0.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","VAlign_Bottom","None","None"
